file,population,expected,attributed,spread,R_mp3,R_aac,R_vorbis,R_opus,R_mp2
008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,fake/opus_256,opus,aac,1.1199,3.0768,0.7675,1.9253,2.9535,1.8875
009-03-Ilya-Beshevli-To-solitude.flac,fake/opus_256,opus,opus,1.3713,3.3803,4.1069,2.3413,0.9700,4.2286
010-06-Jon-Hassell-These-times.flac,fake/opus_256,opus,aac,1.8573,3.9556,0.2833,5.6444,2.1406,4.5249
011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,fake/opus_256,opus,opus,1.5499,3.0120,2.6219,3.7836,1.0720,3.1241
000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,fake/vorbis_q8,vorbis,vorbis,0.6105,2.6218,14.0634,2.0113,8.4717,2.9453
001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,fake/vorbis_q8,vorbis,vorbis,0.4159,2.9171,1.8065,0.0119,10.6218,0.4279
002-03-Hraach-Let-it-go.flac,fake/vorbis_q8,vorbis,mp2,0.8738,3.3417,2.7498,2.9072,7.3740,1.8761
003-01-Thor-Dari-lullaby.flac,fake/vorbis_q8,vorbis,mp2,0.2768,3.2217,0.9675,1.7051,9.4636,0.6907
004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,fake/vorbis_q8,vorbis,vorbis,0.4922,3.6672,1.4890,0.1686,9.2882,0.6608
005-17-Los-Seven-Del-Swing-Celoso.flac,fake/vorbis_q8,vorbis,mp2,1.1710,2.7494,1.8174,1.4145,7.6742,0.2435
006-09-Mahmoud-Ahmed-Tezeta.flac,fake/vorbis_q8,vorbis,mp3,1.5001,1.8763,9.9780,3.3764,8.3627,4.8886
007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,fake/vorbis_q8,vorbis,mp2,0.2948,3.0094,1.4582,1.3899,8.2663,1.0951
008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,fake/vorbis_q8,vorbis,vorbis,0.9569,2.7845,2.3090,1.1342,8.6970,2.0911
009-03-Ilya-Beshevli-To-solitude.flac,fake/vorbis_q8,vorbis,vorbis,0.8432,2.9728,4.2837,2.1296,4.9775,4.2122
010-06-Jon-Hassell-These-times.flac,fake/vorbis_q8,vorbis,mp3,0.2233,3.6415,5.5879,4.2078,8.8210,3.8648
011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,fake/vorbis_q8,vorbis,aac,1.2404,2.8416,1.6012,2.9531,5.3167,3.1315
