population,track,stereo_run,seam
clean,AstralProject2000-06-10.flac16__astralproject2000-06-10t04.flac,1.00,0.571
clean,BAC2026-08-12.RODENT5-ZOOMH6-FLAC8__101. Brick House.flac,2.39,0.178
clean,BAC2026-08-12.RODENT5-ZOOMH6-FLAC8__107. Burning Down The House.flac,1.00,0.178
clean,BG2026-08-09__BG2026-08-09t01.flac,nan,0.358
clean,BG2026-08-09__BG2026-08-09t02.flac,nan,0.478
clean,OBF2026-08-06.ca-14.flac__01-Just Around The Corner .flac,1.37,0.630
clean,OBF2026-08-06.ca-14.flac__02-If You See Their Lips Moving.flac,1.71,0.524
clean,OBF2026-08-07.ca-14.flac__01-Just Around The Corner .flac,1.00,0.399
clean,OBF2026-08-07.ca-14.flac__02-The Way We Rise.flac,1.00,0.482
clean,RFTS2026-08-08.Beverly__01 Althea.flac,1.00,0.383
clean,RFTS2026-08-08.Beverly__02 Tennessee Jed.flac,1.00,0.313
clean,SRB2026-08-08__01. When The Circus Comes To Time (Los Lobos).flac,1.13,0.375
clean,SRB2026-08-08__01.02. Ramble On Rose.flac,1.09,0.316
clean,TST2026-08-08.2__02 Hotel Columbo.flac,1.18,0.327
clean,TST2026-08-08.2__03 Flight.flac,1.21,0.439
clean,ToddSnider2013-05-09.KM-140.OldNeumanntapr.flac1644__ToddSnider2013-05-09set1t01.flac,1.00,0.299
clean,ToddSnider2013-05-09.KM-140.OldNeumanntapr.flac1644__ToddSnider2013-05-09set1t02.flac,1.00,0.466
clean,ToddSnider2013-05-09.KM-140.OldNeumanntapr.flac1644__ToddSnider2013-05-09set1t03.flac,1.00,0.422
clean,ToddSnider2013-05-09.KM-140.OldNeumanntapr.flac1644__ToddSnider2013-05-09set1t04.flac,1.00,0.400
clean,ToddSnider2015-01-30.mk41.skaggs.flac16__Todd Snider2015-01-30S1t01.flac,1.33,0.312
clean,ToddSnider2015-01-30.mk41.skaggs.flac16__Todd Snider2015-01-30S1t02.flac,0.00,0.340
clean,ToddSnider2015-01-30.mk41.skaggs.flac16__Todd Snider2015-01-30S1t03.flac,0.00,0.421
clean,ToddSnider2015-06-21.ca-14.flac16__toddSnider01.flac,1.00,0.302
clean,ToddSnider2015-06-21.ca-14.flac16__toddSnider02.flac,1.00,0.765
clean,ToddSnider2015-10-24.schoeps.flac16__schoeps ts 10 24 15 d01 t01.flac,0.00,0.303
clean,ToddSnider2015-10-24.schoeps.flac16__schoeps ts 10 24 15 d01 t02.flac,0.00,0.204
