arm,file,verdict,score,families
aac_ff128,066-04-Etoile-de-Dakar-My-wa-wa.flac,WARNING,43,cnn
aac_ff128,067-03-The-Streets-Let-s-push-things-forward.flac,WARNING,43,cnn
aac_ff128,068-08-Eddie-Palmieri-Cal-Tjader-Bamboleate.flac,WARNING,43,cnn
aac_ff128,069-02-Eden-Ahbez-The-wanderer.flac,SUSPICIOUS,63,spectral
aac_ff128,070-02-Guts-Good-morning.flac,WARNING,43,cnn
aac_ff128,071-01-Jaipur-Kawa-Brass-Band-Piya-tu-ab-aaja.flac,WARNING,40,cnn
aac_ff128,072-05-Simo-Moumen-Samsara.flac,WARNING,43,cnn
aac_ff128,073-10-Vanilla-Fudge-Eleanor-rigby.flac,WARNING,43,cnn
aac_ff128,074-09-Koki-Nakano-Lift.flac,SUSPICIOUS,63,spectral
aac_ff128,075-03-Jordi-Savall-El-rey-de-francia-esmirna.flac,SUSPICIOUS,63,spectral
aac_ff128,076-20-Fran-ois-Couperin-O-salutaris.flac,SUSPICIOUS,55,mdct
aac_ff128,077-01-Jaga-Jazzist-All-i-know-is-tonight.flac,WARNING,43,cnn
aac_ff128,078-04-Kat-Onoma-La-chambre.flac,FAKE_CERTAIN,93,cnn+spectral
aac_ff128,079-04-Gwen-McCrae-Let-s-straighten-it-out.flac,WARNING,42,cnn
aac_ff256,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,SUSPICIOUS,55,mdct
aac_ff256,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,SUSPICIOUS,55,mdct
aac_ff256,002-03-Hraach-Let-it-go.flac,SUSPICIOUS,55,mdct
aac_ff256,003-01-Thor-Dari-lullaby.flac,FAKE_CERTAIN,85,cnn+mdct
aac_ff256,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,FAKE_CERTAIN,85,cnn+mdct
aac_ff256,005-17-Los-Seven-Del-Swing-Celoso.flac,SUSPICIOUS,66,mdct
aac_ff256,006-09-Mahmoud-Ahmed-Tezeta.flac,SUSPICIOUS,55,mdct
aac_ff256,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,FAKE_CERTAIN,76,cnn+mdct
aac_ff256,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,FAKE_CERTAIN,107,mdct+spectral
aac_ff256,009-03-Ilya-Beshevli-To-solitude.flac,SUSPICIOUS,55,mdct
aac_ff256,010-06-Jon-Hassell-These-times.flac,SUSPICIOUS,55,mdct
aac_ff256,011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,SUSPICIOUS,55,mdct
aac_ff256,012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,SUSPICIOUS,55,mdct
aac_ff256,013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,SUSPICIOUS,55,mdct
aac_ff256,014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,SUSPICIOUS,55,mdct
aac_ff256,015-08-Jos-Gonz-lez-Vissel.flac,SUSPICIOUS,55,mdct
aac_ff256,016-03-Memory-Tapes-Green-knight.flac,FAKE_CERTAIN,85,cnn+mdct
aac_ff256,017-13-Cafe-Del-Mar-Submariner.flac,FAKE_CERTAIN,85,cnn+mdct
