arm,file,verdict,score,families
aac_ff128,028-04-Lisu-Yue-phue-alcool-de-ma-s.flac,FAKE_CERTAIN,55,mdct+temporal
aac_ff128,029-05-Kuusow-Kurtunwaarey-Amin-Xaaji-Cusmaan-Cabdul.flac,WARNING,43,cnn+temporal
aac_ff128,030-06-S-bastien-Tellier-Benny.flac,WARNING,43,cnn+temporal
aac_ff128,031-07-Shkoon-Just-Emma-Id.flac,FAKE_CERTAIN,55,mdct+temporal
aac_ff128,032-05-2kilos-more-Cache-feu.flac,WARNING,43,cnn+temporal
aac_ff128,033-01-Daylight-Rising.flac,WARNING,43,cnn+temporal
aac_ff128,034-09-Snow-Ghosts-Bowline.flac,WARNING,43,spectral+temporal
aac_ff128,035-16-Slow-Air-In-Dropped-D.flac,FAKE_CERTAIN,63,spectral+temporal
aac_ff128,036-08-Nicolas-Comment-Amaurose.flac,WARNING,43,cnn+temporal
aac_ff128,037-02-Super-Cayor-De-Dakar-Emboutaieillage.flac,FAKE_CERTAIN,87,cnn+spectral+temporal
aac_ff128,038-11-Red-Hot-Chili-Peppers-This-velvet-glove.flac,AUTHENTIC,19,temporal
aac_ff128,039-13-Kat-Onoma-Change-blues.flac,WARNING,43,cnn+temporal
aac_ff256,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,SUSPICIOUS,55,mdct
aac_ff256,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,SUSPICIOUS,55,mdct
aac_ff256,002-03-Hraach-Let-it-go.flac,SUSPICIOUS,55,mdct
aac_ff256,003-01-Thor-Dari-lullaby.flac,FAKE_CERTAIN,85,cnn+mdct
aac_ff256,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,FAKE_CERTAIN,85,cnn+mdct
aac_ff256,005-17-Los-Seven-Del-Swing-Celoso.flac,SUSPICIOUS,66,mdct
aac_ff256,006-09-Mahmoud-Ahmed-Tezeta.flac,SUSPICIOUS,55,mdct
aac_ff256,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,FAKE_CERTAIN,76,cnn+mdct
aac_ff256,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,FAKE_CERTAIN,107,mdct+spectral+temporal
aac_ff256,009-03-Ilya-Beshevli-To-solitude.flac,SUSPICIOUS,55,mdct
aac_ff256,010-06-Jon-Hassell-These-times.flac,SUSPICIOUS,55,mdct
aac_ff256,011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,SUSPICIOUS,55,mdct
aac_ff256,012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,SUSPICIOUS,55,mdct
