file,population,verdict,score,evidence_families,stereo_witness
015-08-Jos-Gonz-lez-Vissel.flac,aac_ff256,SUSPICIOUS,55,mdct,0
016-03-Memory-Tapes-Green-knight.flac,aac_ff256,FAKE_CERTAIN,85,cnn+mdct+stereo,1
017-13-Cafe-Del-Mar-Submariner.flac,aac_ff256,FAKE_CERTAIN,85,cnn+mdct,0
018-04-Bag-o-wire-Resovoir.flac,aac_ff256,FAKE_CERTAIN,85,cnn+mdct,0
019-04-Kohi-Jadu.flac,aac_ff256,FAKE_CERTAIN,83,cnn+mdct+temporal,0
020-06-Bola-Tigantabame.flac,aac_ff256,FAKE_CERTAIN,79,cnn+mdct,0
021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,aac_ff256,FAKE_CERTAIN,55,mdct+stereo,1
022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,aac_ff256,FAKE_CERTAIN,64,mdct+stereo,1
023-01-Yusef-Lateef-Buddy-and-lou.flac,aac_ff256,FAKE_CERTAIN,85,cnn+mdct+stereo,1
024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,aac_ff256,SUSPICIOUS,55,mdct,0
025-07-Bolalar-Lola.flac,aac_ff256,FAKE_CERTAIN,85,cnn+mdct+stereo,1
026-06-Oumou-Dioubat-Siyala.flac,aac_ff256,FAKE_CERTAIN,85,cnn+mdct+temporal,0
027-01-Dimlite-Kitty-Cradle-Fog.flac,aac_ff256,FAKE_CERTAIN,85,cnn+mdct,0
028-04-Lisu-Yue-phue-alcool-de-ma-s.flac,aac_ff256,SUSPICIOUS,55,mdct,0
029-05-Kuusow-Kurtunwaarey-Amin-Xaaji-Cusmaan-Cabdul.flac,aac_ff256,SUSPICIOUS,55,mdct,0
030-06-S-bastien-Tellier-Benny.flac,aac_ff256,FAKE_CERTAIN,85,cnn+mdct,0
031-07-Shkoon-Just-Emma-Id.flac,aac_ff256,FAKE_CERTAIN,55,mdct+stereo,1
032-05-2kilos-more-Cache-feu.flac,aac_ff256,FAKE_CERTAIN,85,cnn+mdct,0
033-01-Daylight-Rising.flac,aac_ff256,FAKE_CERTAIN,85,cnn+mdct,0
034-09-Snow-Ghosts-Bowline.flac,aac_ff256,SUSPICIOUS,55,mdct,0
035-16-Slow-Air-In-Dropped-D.flac,aac_ff256,SUSPICIOUS,55,mdct,0
036-08-Nicolas-Comment-Amaurose.flac,aac_ff256,FAKE_CERTAIN,85,cnn+mdct,0
037-02-Super-Cayor-De-Dakar-Emboutaieillage.flac,aac_ff256,FAKE_CERTAIN,85,cnn+mdct,0
038-11-Red-Hot-Chili-Peppers-This-velvet-glove.flac,aac_ff256,FAKE_CERTAIN,85,cnn+mdct,0
039-13-Kat-Onoma-Change-blues.flac,aac_ff256,FAKE_CERTAIN,85,cnn+mdct+stereo,1
000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,opus_256,AUTHENTIC,8,,0
001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,opus_256,AUTHENTIC,10,stereo,1
002-03-Hraach-Let-it-go.flac,opus_256,AUTHENTIC,28,spectral+stereo,1
003-01-Thor-Dari-lullaby.flac,opus_256,FAKE_CERTAIN,88,cnn+spectral+stereo,1
004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,opus_256,FAKE_CERTAIN,88,cnn+spectral+stereo,1
005-17-Los-Seven-Del-Swing-Celoso.flac,opus_256,AUTHENTIC,10,stereo,1
006-09-Mahmoud-Ahmed-Tezeta.flac,opus_256,AUTHENTIC,7,,0
007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,opus_256,AUTHENTIC,27,stereo,1
008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,opus_256,FAKE_CERTAIN,62,spectral+stereo+temporal,1
009-03-Ilya-Beshevli-To-solitude.flac,opus_256,AUTHENTIC,0,stereo+temporal,1
010-06-Jon-Hassell-These-times.flac,opus_256,AUTHENTIC,8,temporal,0
011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,opus_256,WARNING,38,cnn+stereo+temporal,1
012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,opus_256,AUTHENTIC,10,stereo,1
013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,opus_256,AUTHENTIC,7,stereo+temporal,1
014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,opus_256,AUTHENTIC,0,temporal,0
015-08-Jos-Gonz-lez-Vissel.flac,opus_256,AUTHENTIC,8,stereo+temporal,1
016-03-Memory-Tapes-Green-knight.flac,opus_256,FAKE_CERTAIN,58,cnn+spectral+stereo,1
017-13-Cafe-Del-Mar-Submariner.flac,opus_256,FAKE_CERTAIN,71,spectral+stereo,1
018-04-Bag-o-wire-Resovoir.flac,opus_256,WARNING,38,cnn,0
019-04-Kohi-Jadu.flac,opus_256,FAKE_CERTAIN,58,spectral+stereo+temporal,1
020-06-Bola-Tigantabame.flac,opus_256,WARNING,38,cnn+stereo,1
021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,opus_256,AUTHENTIC,10,stereo,1
022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,opus_256,AUTHENTIC,10,stereo+temporal,1
023-01-Yusef-Lateef-Buddy-and-lou.flac,opus_256,AUTHENTIC,28,spectral+stereo,1
024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,opus_256,WARNING,35,cnn+stereo+temporal,1
025-07-Bolalar-Lola.flac,opus_256,AUTHENTIC,28,spectral+stereo,1
026-06-Oumou-Dioubat-Siyala.flac,opus_256,AUTHENTIC,10,stereo+temporal,1
027-01-Dimlite-Kitty-Cradle-Fog.flac,opus_256,FAKE_CERTAIN,58,spectral+stereo,1
028-04-Lisu-Yue-phue-alcool-de-ma-s.flac,opus_256,AUTHENTIC,0,temporal,0
029-05-Kuusow-Kurtunwaarey-Amin-Xaaji-Cusmaan-Cabdul.flac,opus_256,FAKE_CERTAIN,58,spectral+stereo+temporal,1
030-06-S-bastien-Tellier-Benny.flac,opus_256,FAKE_CERTAIN,88,cnn+spectral+stereo,1
031-07-Shkoon-Just-Emma-Id.flac,opus_256,AUTHENTIC,0,stereo,1
032-05-2kilos-more-Cache-feu.flac,opus_256,FAKE_CERTAIN,73,spectral+stereo+temporal,1
033-01-Daylight-Rising.flac,opus_256,WARNING,38,spectral+stereo+temporal,1
034-09-Snow-Ghosts-Bowline.flac,opus_256,AUTHENTIC,10,stereo+temporal,1
035-16-Slow-Air-In-Dropped-D.flac,opus_256,AUTHENTIC,8,stereo,1
036-08-Nicolas-Comment-Amaurose.flac,opus_256,FAKE_CERTAIN,58,cnn+spectral+stereo,1
037-02-Super-Cayor-De-Dakar-Emboutaieillage.flac,opus_256,FAKE_CERTAIN,87,cnn+spectral+stereo,1
038-11-Red-Hot-Chili-Peppers-This-velvet-glove.flac,opus_256,AUTHENTIC,29,cnn,0
039-13-Kat-Onoma-Change-blues.flac,opus_256,FAKE_CERTAIN,58,spectral+stereo,1
000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,vorbis_q8,SUSPICIOUS,55,mdct,0
001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,vorbis_q8,FAKE_CERTAIN,70,mdct+stereo,1
002-03-Hraach-Let-it-go.flac,vorbis_q8,FAKE_CERTAIN,55,mdct+stereo,1
003-01-Thor-Dari-lullaby.flac,vorbis_q8,WARNING,31,cnn+stereo,1
004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,vorbis_q8,FAKE_CERTAIN,55,mdct+stereo,1
005-17-Los-Seven-Del-Swing-Celoso.flac,vorbis_q8,FAKE_CERTAIN,68,spectral+stereo,1
006-09-Mahmoud-Ahmed-Tezeta.flac,vorbis_q8,AUTHENTIC,25,mdct,0
007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,vorbis_q8,FAKE_CERTAIN,55,mdct+stereo,1
008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,vorbis_q8,FAKE_CERTAIN,107,mdct+spectral+stereo+temporal,1
009-03-Ilya-Beshevli-To-solitude.flac,vorbis_q8,AUTHENTIC,0,stereo+temporal,1
010-06-Jon-Hassell-These-times.flac,vorbis_q8,AUTHENTIC,25,mdct,0
011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,vorbis_q8,AUTHENTIC,25,mdct+stereo,1
012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,vorbis_q8,WARNING,50,spectral+stereo,1
013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,vorbis_q8,FAKE_CERTAIN,55,mdct+stereo+temporal,1
014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,vorbis_q8,FAKE_CERTAIN,55,mdct+stereo,1
015-08-Jos-Gonz-lez-Vissel.flac,vorbis_q8,AUTHENTIC,0,stereo,1
016-03-Memory-Tapes-Green-knight.flac,vorbis_q8,FAKE_CERTAIN,85,cnn+mdct+stereo,1
017-13-Cafe-Del-Mar-Submariner.flac,vorbis_q8,FAKE_CERTAIN,55,mdct+stereo,1
018-04-Bag-o-wire-Resovoir.flac,vorbis_q8,FAKE_CERTAIN,85,cnn+mdct+stereo,1
019-04-Kohi-Jadu.flac,vorbis_q8,AUTHENTIC,0,stereo+temporal,1
020-06-Bola-Tigantabame.flac,vorbis_q8,AUTHENTIC,15,stereo,1
021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,vorbis_q8,FAKE_CERTAIN,105,mdct+spectral+stereo,1
022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,vorbis_q8,FAKE_CERTAIN,86,cnn+mdct+stereo+temporal,1
023-01-Yusef-Lateef-Buddy-and-lou.flac,vorbis_q8,FAKE_CERTAIN,55,mdct+stereo,1
024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,vorbis_q8,FAKE_CERTAIN,85,cnn+mdct,0
025-07-Bolalar-Lola.flac,vorbis_q8,FAKE_CERTAIN,78,cnn+mdct+stereo,1
026-06-Oumou-Dioubat-Siyala.flac,vorbis_q8,WARNING,52,spectral+stereo+temporal,1
027-01-Dimlite-Kitty-Cradle-Fog.flac,vorbis_q8,FAKE_CERTAIN,55,mdct+stereo,1
028-04-Lisu-Yue-phue-alcool-de-ma-s.flac,vorbis_q8,SUSPICIOUS,55,mdct,0
029-05-Kuusow-Kurtunwaarey-Amin-Xaaji-Cusmaan-Cabdul.flac,vorbis_q8,FAKE_CERTAIN,55,mdct+stereo,1
030-06-S-bastien-Tellier-Benny.flac,vorbis_q8,FAKE_CERTAIN,68,mdct+stereo,1
031-07-Shkoon-Just-Emma-Id.flac,vorbis_q8,AUTHENTIC,0,stereo,1
032-05-2kilos-more-Cache-feu.flac,vorbis_q8,FAKE_CERTAIN,84,cnn+mdct+stereo+temporal,1
033-01-Daylight-Rising.flac,vorbis_q8,FAKE_CERTAIN,62,mdct+stereo,1
034-09-Snow-Ghosts-Bowline.flac,vorbis_q8,FAKE_CERTAIN,105,mdct+spectral+stereo+temporal,1
035-16-Slow-Air-In-Dropped-D.flac,vorbis_q8,AUTHENTIC,25,mdct+stereo,1
036-08-Nicolas-Comment-Amaurose.flac,vorbis_q8,FAKE_CERTAIN,55,cnn+mdct+stereo,1
037-02-Super-Cayor-De-Dakar-Emboutaieillage.flac,vorbis_q8,WARNING,31,cnn+stereo,1
038-11-Red-Hot-Chili-Peppers-This-velvet-glove.flac,vorbis_q8,WARNING,31,cnn,0
039-13-Kat-Onoma-Change-blues.flac,vorbis_q8,FAKE_CERTAIN,79,cnn+mdct+stereo,1
000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,mp3_192,AUTHENTIC,6,temporal,0
001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,mp3_192,WARNING,37,cnn+stereo,1
002-03-Hraach-Let-it-go.flac,mp3_192,FAKE_CERTAIN,86,cnn+spectral+stereo+temporal,1
003-01-Thor-Dari-lullaby.flac,mp3_192,FAKE_CERTAIN,86,cnn+spectral+stereo+temporal,1
004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,mp3_192,WARNING,36,cnn+stereo+temporal,1
005-17-Los-Seven-Del-Swing-Celoso.flac,mp3_192,FAKE_CERTAIN,57,cnn+spectral+stereo,1
006-09-Mahmoud-Ahmed-Tezeta.flac,mp3_192,AUTHENTIC,6,temporal,0
007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,mp3_192,WARNING,40,cnn+stereo,1
008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,mp3_192,WARNING,43,cnn+stereo+temporal,1
009-03-Ilya-Beshevli-To-solitude.flac,mp3_192,AUTHENTIC,0,stereo+temporal,1
010-06-Jon-Hassell-These-times.flac,mp3_192,SUSPICIOUS,56,spectral,0
011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,mp3_192,WARNING,36,cnn+stereo+temporal,1
012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,mp3_192,WARNING,36,cnn+stereo,1
013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,mp3_192,AUTHENTIC,5,stereo+temporal,1
014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,mp3_192,AUTHENTIC,0,,0
015-08-Jos-Gonz-lez-Vissel.flac,mp3_192,AUTHENTIC,6,stereo+temporal,1
016-03-Memory-Tapes-Green-knight.flac,mp3_192,WARNING,36,cnn+stereo+temporal,1
017-13-Cafe-Del-Mar-Submariner.flac,mp3_192,WARNING,36,cnn+stereo+temporal,1
018-04-Bag-o-wire-Resovoir.flac,mp3_192,WARNING,36,cnn,0
019-04-Kohi-Jadu.flac,mp3_192,FAKE_CERTAIN,86,cnn+spectral+stereo+temporal,1
020-06-Bola-Tigantabame.flac,mp3_192,WARNING,36,cnn+stereo+temporal,1
021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,mp3_192,WARNING,50,cnn+spectral+temporal,0
022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,mp3_192,FAKE_CERTAIN,86,cnn+spectral+stereo+temporal,1
023-01-Yusef-Lateef-Buddy-and-lou.flac,mp3_192,FAKE_CERTAIN,86,cnn+spectral+stereo+temporal,1
024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,mp3_192,WARNING,32,cnn+spectral+temporal,0
025-07-Bolalar-Lola.flac,mp3_192,WARNING,36,cnn+stereo+temporal,1
026-06-Oumou-Dioubat-Siyala.flac,mp3_192,WARNING,36,cnn+stereo+temporal,1
027-01-Dimlite-Kitty-Cradle-Fog.flac,mp3_192,WARNING,36,cnn+stereo+temporal,1
028-04-Lisu-Yue-phue-alcool-de-ma-s.flac,mp3_192,AUTHENTIC,0,temporal,0
029-05-Kuusow-Kurtunwaarey-Amin-Xaaji-Cusmaan-Cabdul.flac,mp3_192,FAKE_CERTAIN,86,cnn+spectral+stereo,1
030-06-S-bastien-Tellier-Benny.flac,mp3_192,WARNING,36,cnn+stereo+temporal,1
031-07-Shkoon-Just-Emma-Id.flac,mp3_192,AUTHENTIC,0,stereo+temporal,1
032-05-2kilos-more-Cache-feu.flac,mp3_192,FAKE_CERTAIN,86,cnn+spectral+stereo+temporal,1
033-01-Daylight-Rising.flac,mp3_192,FAKE_CERTAIN,86,cnn+spectral+stereo+temporal,1
034-09-Snow-Ghosts-Bowline.flac,mp3_192,WARNING,36,spectral+stereo,1
035-16-Slow-Air-In-Dropped-D.flac,mp3_192,AUTHENTIC,6,stereo+temporal,1
036-08-Nicolas-Comment-Amaurose.flac,mp3_192,FAKE_CERTAIN,86,cnn+spectral+stereo,1
037-02-Super-Cayor-De-Dakar-Emboutaieillage.flac,mp3_192,FAKE_CERTAIN,86,cnn+spectral+stereo,1
038-11-Red-Hot-Chili-Peppers-This-velvet-glove.flac,mp3_192,WARNING,36,cnn,0
039-13-Kat-Onoma-Change-blues.flac,mp3_192,FAKE_CERTAIN,86,cnn+spectral+stereo,1
000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,aac_ff128,AUTHENTIC,13,temporal,0
001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,aac_ff128,WARNING,43,cnn+stereo+temporal,1
002-03-Hraach-Let-it-go.flac,aac_ff128,FAKE_CERTAIN,92,cnn+spectral+stereo+temporal,1
003-01-Thor-Dari-lullaby.flac,aac_ff128,WARNING,43,cnn+stereo+temporal,1
004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,aac_ff128,WARNING,43,cnn+stereo+temporal,1
005-17-Los-Seven-Del-Swing-Celoso.flac,aac_ff128,WARNING,43,cnn+stereo+temporal,1
006-09-Mahmoud-Ahmed-Tezeta.flac,aac_ff128,AUTHENTIC,13,temporal,0
007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,aac_ff128,WARNING,40,cnn+stereo+temporal,1
008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,aac_ff128,WARNING,43,cnn+stereo+temporal,1
009-03-Ilya-Beshevli-To-solitude.flac,aac_ff128,FAKE_CERTAIN,55,mdct+stereo+temporal,1
010-06-Jon-Hassell-These-times.flac,aac_ff128,FAKE_CERTAIN,63,spectral+temporal,0
011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,aac_ff128,WARNING,43,cnn+stereo+temporal,1
012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,aac_ff128,WARNING,43,cnn+stereo+temporal,1
013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,aac_ff128,AUTHENTIC,13,temporal,0
014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,aac_ff128,FAKE_CERTAIN,55,mdct+temporal,0
015-08-Jos-Gonz-lez-Vissel.flac,aac_ff128,FAKE_CERTAIN,63,spectral+stereo+temporal,1
016-03-Memory-Tapes-Green-knight.flac,aac_ff128,WARNING,43,cnn+stereo+temporal,1
017-13-Cafe-Del-Mar-Submariner.flac,aac_ff128,WARNING,38,cnn+stereo+temporal,1
018-04-Bag-o-wire-Resovoir.flac,aac_ff128,WARNING,43,cnn+stereo+temporal,1
019-04-Kohi-Jadu.flac,aac_ff128,WARNING,43,cnn+stereo+temporal,1
020-06-Bola-Tigantabame.flac,aac_ff128,WARNING,43,cnn+stereo+temporal,1
021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,aac_ff128,WARNING,43,cnn+stereo+temporal,1
022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,aac_ff128,FAKE_CERTAIN,63,spectral+stereo+temporal,1
023-01-Yusef-Lateef-Buddy-and-lou.flac,aac_ff128,WARNING,43,cnn+stereo+temporal,1
024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,aac_ff128,FAKE_CERTAIN,93,cnn+spectral+stereo+temporal,1
025-07-Bolalar-Lola.flac,aac_ff128,WARNING,43,cnn+stereo+temporal,1
026-06-Oumou-Dioubat-Siyala.flac,aac_ff128,WARNING,42,cnn+stereo+temporal,1
027-01-Dimlite-Kitty-Cradle-Fog.flac,aac_ff128,WARNING,43,cnn+stereo+temporal,1
028-04-Lisu-Yue-phue-alcool-de-ma-s.flac,aac_ff128,FAKE_CERTAIN,55,mdct+temporal,0
029-05-Kuusow-Kurtunwaarey-Amin-Xaaji-Cusmaan-Cabdul.flac,aac_ff128,WARNING,43,cnn+stereo+temporal,1
030-06-S-bastien-Tellier-Benny.flac,aac_ff128,WARNING,43,cnn+stereo+temporal,1
031-07-Shkoon-Just-Emma-Id.flac,aac_ff128,FAKE_CERTAIN,55,mdct+stereo+temporal,1
032-05-2kilos-more-Cache-feu.flac,aac_ff128,WARNING,43,cnn+stereo+temporal,1
033-01-Daylight-Rising.flac,aac_ff128,WARNING,43,cnn+stereo+temporal,1
034-09-Snow-Ghosts-Bowline.flac,aac_ff128,WARNING,43,spectral+stereo+temporal,1
035-16-Slow-Air-In-Dropped-D.flac,aac_ff128,FAKE_CERTAIN,63,spectral+stereo+temporal,1
036-08-Nicolas-Comment-Amaurose.flac,aac_ff128,WARNING,43,cnn+stereo+temporal,1
037-02-Super-Cayor-De-Dakar-Emboutaieillage.flac,aac_ff128,FAKE_CERTAIN,87,cnn+spectral+stereo+temporal,1
038-11-Red-Hot-Chili-Peppers-This-velvet-glove.flac,aac_ff128,AUTHENTIC,19,temporal,0
039-13-Kat-Onoma-Change-blues.flac,aac_ff128,WARNING,43,cnn+stereo+temporal,1
src037.flac,bandlimited,SUSPICIOUS,72,spectral,0
src038.flac,bandlimited,AUTHENTIC,0,stereo,1
src039.flac,bandlimited,AUTHENTIC,0,,0
src040.flac,bandlimited,AUTHENTIC,20,spectral,0
src041.flac,bandlimited,WARNING,50,spectral,0
src042.flac,bandlimited,SUSPICIOUS,71,spectral,0
src043.flac,bandlimited,AUTHENTIC,23,spectral,0
src044.flac,bandlimited,SUSPICIOUS,71,spectral,0
src045.flac,bandlimited,WARNING,36,spectral,0
src046.flac,bandlimited,AUTHENTIC,25,spectral+temporal,0
src047.flac,bandlimited,SUSPICIOUS,72,spectral,0
src048.flac,bandlimited,AUTHENTIC,23,spectral,0
src049.flac,bandlimited,SUSPICIOUS,75,spectral,0
src050.flac,bandlimited,SUSPICIOUS,72,spectral,0
src051.flac,bandlimited,WARNING,33,spectral,0
src052.flac,bandlimited,SUSPICIOUS,72,spectral,0
src053.flac,bandlimited,AUTHENTIC,25,spectral,0
src054.flac,bandlimited,AUTHENTIC,25,spectral,0
