arm,file,seam,seam_hz,cutoff_hz
opus_256,025-07-Bolalar-Lola.flac,5.2668,15844,19992
opus_256,026-06-Oumou-Dioubat-Siyala.flac,6.9701,11578,20016
opus_256,027-01-Dimlite-Kitty-Cradle-Fog.flac,11.5759,4453,20121
opus_256,028-04-Lisu-Yue-phue-alcool-de-ma-s.flac,28.6189,3539,20133
opus_256,029-05-Kuusow-Kurtunwaarey-Amin-Xaaji-Cusmaan-Cabdul.flac,9.7641,8941,18352
opus_256,030-06-S-bastien-Tellier-Benny.flac,6.5107,3211,20074
opus_256,031-07-Shkoon-Just-Emma-Id.flac,11.7002,13793,20098
opus_256,032-05-2kilos-more-Cache-feu.flac,8.1843,5074,18012
opus_256,033-01-Daylight-Rising.flac,6.6227,4008,20016
opus_256,034-09-Snow-Ghosts-Bowline.flac,4.3453,14355,20004
opus_256,035-16-Slow-Air-In-Dropped-D.flac,6.6263,3363,20121
opus_256,036-08-Nicolas-Comment-Amaurose.flac,9.5718,7160,20098
opus_256,037-02-Super-Cayor-De-Dakar-Emboutaieillage.flac,6.0194,5977,20191
opus_256,038-11-Red-Hot-Chili-Peppers-This-velvet-glove.flac,4.7557,6305,20004
opus_256,039-13-Kat-Onoma-Change-blues.flac,10.3264,3035,19980
mp3_320,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,7.3688,4177,15299
mp3_320,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,8.8753,3575,18852
mp3_320,002-03-Hraach-Let-it-go.flac,6.8315,12177,19961
mp3_320,003-01-Thor-Dari-lullaby.flac,7.0367,3531,20144
mp3_320,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,9.7035,3994,20101
mp3_320,005-17-Los-Seven-Del-Swing-Celoso.flac,6.1427,5082,17356
mp3_320,006-09-Mahmoud-Ahmed-Tezeta.flac,19.9205,6137,19972
mp3_320,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,13.5881,15762,17528
mp3_320,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,5.9912,3618,16484
mp3_320,009-03-Ilya-Beshevli-To-solitude.flac,25.5692,3639,20134
mp3_320,010-06-Jon-Hassell-These-times.flac,16.8377,3004,19918
mp3_320,011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,4.8822,3973,20123
mp3_320,012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,19.5411,5879,19821
mp3_320,013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,23.0585,3833,20101
