file,generation,R_phase0,R_best,best_phase,searched_phase,searched_d1
000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,1,-0.5141666465112088,-0.5141666465112088,0,0,0.26259400583562253
000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,2,-0.32076923076012315,-0.32076923076012315,0,0,0.29337419842193824
000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,3,-0.23819066949193946,-0.23819066949193946,0,0,0.29343901543854495
000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,4,-0.18910383442858222,-0.18910383442858222,0,0,0.2886503160755021
001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,1,0.7356667153884393,0.7356667153884393,0,0,0.7095912468519286
001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,2,0.7096269964083307,0.7096269964083307,0,0,0.6785020930384194
001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,3,0.2878406604783252,0.2878406604783252,0,0,0.6177031915848473
001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,4,0.011537042287902664,0.011537042287902664,0,0,0.5906983891476348
002-03-Hraach-Let-it-go.flac,1,0.9762270203613056,0.9762270203613056,0,0,0.6091054085450829
002-03-Hraach-Let-it-go.flac,2,0.8048637902381197,0.8048637902381197,0,0,0.5409357193003603
002-03-Hraach-Let-it-go.flac,3,0.46758423841211516,0.46758423841211516,0,0,0.4690174660151211
002-03-Hraach-Let-it-go.flac,4,0.559297442413208,0.559297442413208,0,0,0.446876511996777
003-01-Thor-Dari-lullaby.flac,1,0.6069257960362715,0.6069257960362715,0,0,0.46700071794637954
003-01-Thor-Dari-lullaby.flac,2,0.6528018333470678,0.6528018333470678,0,0,0.4721821726137421
003-01-Thor-Dari-lullaby.flac,3,0.6429417397765078,0.6429417397765078,0,0,0.4486093073693656
003-01-Thor-Dari-lullaby.flac,4,0.30874598527723207,0.30874598527723207,0,0,0.42496890055524045
004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,1,1.3269216757684448,1.3269216757684448,0,0,0.4832437679916822
004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,2,1.0651447017448308,1.0651447017448308,0,0,0.44883261686201553
004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,3,0.40076651295338545,0.40076651295338545,0,0,0.3797607610839023
004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,4,0.6911249746172101,0.6911249746172101,0,0,0.33517364826710483
005-17-Los-Seven-Del-Swing-Celoso.flac,1,1.029658277739107,1.029658277739107,0,0,0.42345626981640694
005-17-Los-Seven-Del-Swing-Celoso.flac,2,0.388720737622683,0.388720737622683,0,0,0.4040591133276416
005-17-Los-Seven-Del-Swing-Celoso.flac,3,0.4920035704431963,0.4920035704431963,0,0,0.3647861817372859
005-17-Los-Seven-Del-Swing-Celoso.flac,4,0.08673523349432978,0.08673523349432978,0,0,0.3523159324583267
006-09-Mahmoud-Ahmed-Tezeta.flac,1,0.7163222671680157,0.7163222671680157,0,0,0.4362641045260835
006-09-Mahmoud-Ahmed-Tezeta.flac,2,0.3589848498975712,0.3589848498975712,0,0,0.38360000545443096
006-09-Mahmoud-Ahmed-Tezeta.flac,3,0.24522378074644346,0.24522378074644346,0,0,0.3576465832738481
006-09-Mahmoud-Ahmed-Tezeta.flac,4,0.20751034571261148,0.20751034571261148,0,0,0.3496629708310392
007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,1,0.9242766112654037,0.9242766112654037,0,0,0.3964396958544953
007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,2,0.5683351858804374,0.5683351858804374,0,0,0.35377546264624865
007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,3,0.3332471065420747,0.3332471065420747,0,0,0.35267513404055323
007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,4,0.36898287054286516,0.36898287054286516,0,0,0.3299911205271942
008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,1,0.9153033868912841,0.9153033868912841,0,0,0.5454137314397692
008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,2,0.32655872425124677,0.32655872425124677,0,0,0.48108954394250736
008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,3,0.17799840762971858,0.17799840762971858,0,0,0.4648067804990216
008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,4,0.16145324141176276,0.16145324141176276,0,0,0.439030258281116
009-03-Ilya-Beshevli-To-solitude.flac,1,0.8742613703395454,0.8742613703395454,0,0,0.9056294876909275
009-03-Ilya-Beshevli-To-solitude.flac,2,0.3894226593150343,0.3894226593150343,0,0,0.8001026279703306
009-03-Ilya-Beshevli-To-solitude.flac,3,0.2453484225500832,0.2453484225500832,0,0,0.8129552337900213
009-03-Ilya-Beshevli-To-solitude.flac,4,0.22493423942808866,0.22493423942808866,0,0,0.8011436375915195
010-06-Jon-Hassell-These-times.flac,1,0.06480777122449365,0.06480777122449365,0,0,0.6797139948540442
010-06-Jon-Hassell-These-times.flac,2,0.4032681338302094,0.4032681338302094,0,0,0.6365517646769794
010-06-Jon-Hassell-These-times.flac,3,0.23707145538832017,0.23707145538832017,0,0,0.5752064819616864
010-06-Jon-Hassell-These-times.flac,4,0.030037755271497116,0.030037755271497116,0,0,0.5511622473530415
011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,1,0.9402519555464979,0.9402519555464979,0,0,0.8854346814747248
011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,2,0.6421048369874798,0.6421048369874798,0,0,0.7735914802635407
011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,3,0.39536314892149343,0.39536314892149343,0,0,0.7443109809393875
011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,4,0.384103257684636,0.384103257684636,0,0,0.7114697300593226
012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,1,2.119789668608961,2.119789668608961,0,0,0.5626542182901542
012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,2,1.6143565690345807,1.6143565690345807,0,0,0.44055749260770116
012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,3,1.0832778249848363,1.0832778249848363,0,0,0.3180757221355309
012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,4,0.9533742204793944,0.9533742204793944,0,0,0.322325112704789
013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,1,0.5277138146357385,0.5277138146357385,0,0,0.5024256109271755
013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,2,0.30298319488004294,0.30298319488004294,0,0,0.44400050947308856
013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,3,0.1848962271764282,0.1848962271764282,0,0,0.420050875666614
013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,4,0.07228728407309608,0.07228728407309608,0,0,0.43257867470530015
014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,1,0.3584336337916813,0.3584336337916813,0,0,0.47000470588160287
014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,2,0.15158866313121333,0.15158866313121333,0,0,0.4469237622515041
014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,3,0.16607118371674318,0.16607118371674318,0,0,0.44869829619968177
014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,4,0.059375757900550344,0.059375757900550344,0,0,0.4486631160342883
015-08-Jos-Gonz-lez-Vissel.flac,1,0.2704224174972888,0.2704224174972888,0,0,0.8405656066416742
015-08-Jos-Gonz-lez-Vissel.flac,2,0.3528812362626633,0.3528812362626633,0,0,0.7861540128953489
015-08-Jos-Gonz-lez-Vissel.flac,3,0.17302030572280108,0.17302030572280108,0,0,0.7582668312012039
015-08-Jos-Gonz-lez-Vissel.flac,4,0.0922229119674445,0.0922229119674445,0,0,0.734427848205803
016-03-Memory-Tapes-Green-knight.flac,1,0.8802554300115312,0.8802554300115312,0,0,0.48520875324335766
016-03-Memory-Tapes-Green-knight.flac,2,0.37131183836912357,0.37131183836912357,0,0,0.43524079555283596
016-03-Memory-Tapes-Green-knight.flac,3,0.35903190141477165,0.35903190141477165,0,0,0.4257057634416941
016-03-Memory-Tapes-Green-knight.flac,4,0.20555121890476855,0.20555121890476855,0,0,0.3717173673204875
017-13-Cafe-Del-Mar-Submariner.flac,1,0.8451160219240754,0.8451160219240754,0,0,0.59518741082525
017-13-Cafe-Del-Mar-Submariner.flac,2,0.8688846131701272,0.8688846131701272,0,0,0.5567020806183333
017-13-Cafe-Del-Mar-Submariner.flac,3,0.5633515050110716,0.5633515050110716,0,0,0.5293421458845349
017-13-Cafe-Del-Mar-Submariner.flac,4,0.496939650720615,0.496939650720615,0,0,0.5057555978111914
018-04-Bag-o-wire-Resovoir.flac,1,1.3476516865959791,1.3476516865959791,0,0,0.3402824255478571
018-04-Bag-o-wire-Resovoir.flac,2,1.0039223835656321,1.0039223835656321,0,0,0.29462122468152935
018-04-Bag-o-wire-Resovoir.flac,3,0.5665751895841769,0.5665751895841769,0,0,0.2714257276117353
018-04-Bag-o-wire-Resovoir.flac,4,0.27689788964483625,0.27689788964483625,0,0,0.23949329662225252
019-04-Kohi-Jadu.flac,1,0.8259637526969659,0.8259637526969659,0,0,0.6866791259493836
019-04-Kohi-Jadu.flac,2,0.40406649092672775,0.40406649092672775,0,0,0.6083290701156508
019-04-Kohi-Jadu.flac,3,0.27399970682459535,0.27399970682459535,0,0,0.5679154654481504
019-04-Kohi-Jadu.flac,4,0.2717074514147434,0.2717074514147434,0,0,0.5568325170899172
020-06-Bola-Tigantabame.flac,1,1.104959568984756,1.104959568984756,0,0,0.3075347351823889
020-06-Bola-Tigantabame.flac,2,0.8870808888444631,0.8870808888444631,0,0,0.277297481386895
020-06-Bola-Tigantabame.flac,3,0.029708474227641717,0.029708474227641717,0,0,0.28884888746467835
020-06-Bola-Tigantabame.flac,4,0.22829384665626645,0.22829384665626645,0,0,0.2768839201173577
021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,1,1.4505423433530544,1.4505423433530544,0,0,0.6046658875097926
021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,2,1.166319373954185,1.166319373954185,0,0,0.4624617276449833
021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,3,0.5310239732833432,0.5310239732833432,0,0,0.4284464564950791
021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,4,0.7253992089186814,0.7253992089186814,0,0,0.3973098509061743
022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,1,0.15558677919700098,0.15558677919700098,0,0,0.8265518594520064
022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,2,0.3029487185760366,0.3029487185760366,0,0,0.7705787382908071
022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,3,0.24999748215852255,0.24999748215852255,0,0,0.782705821826394
022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,4,0.05581029035430364,0.05581029035430364,0,0,0.8138321206478313
023-01-Yusef-Lateef-Buddy-and-lou.flac,1,1.3177055960979938,1.3177055960979938,0,0,0.5947811031488404
023-01-Yusef-Lateef-Buddy-and-lou.flac,2,1.1562330636381586,1.1562330636381586,0,0,0.5343911291342172
023-01-Yusef-Lateef-Buddy-and-lou.flac,3,0.49570031917573,0.49570031917573,0,0,0.45950921285681035
023-01-Yusef-Lateef-Buddy-and-lou.flac,4,0.43771135399519795,0.43771135399519795,0,0,0.3865047395815119
