file,stratum,reference_db,edge_20db_hz,edge_40db_hz
fd-exchange-v3-setA-r2-0075,full_band,-89.07,17226.6,17425.7
fd-exchange-v3-setA-r2-0076,full_band,-94.49,22050.0,
fd-exchange-v3-setA-r2-0077,full_band,-81.40,14287.3,18324.8
fd-exchange-v3-setA-r2-0078,full_band,-96.14,,
fd-exchange-v3-setA-r2-0079,band_limited_synthetic,-85.68,14341.1,15433.9
fd-exchange-v3-setA-r2-0080,full_band,-98.68,,
fd-exchange-v3-setA-r2-0081,full_band,-98.26,,
fd-exchange-v3-setA-r2-0082,full_band,-77.43,22050.0,
fd-exchange-v3-setA-r2-0083,full_band,-93.57,20074.3,20198.1
fd-exchange-v3-setA-r2-0084,full_band,-95.10,,
fd-exchange-v3-setA-r2-0085,full_band,-91.76,,
fd-exchange-v3-setA-r2-0086,full_band,-81.55,14260.4,17463.4
fd-exchange-v3-setA-r2-0087,band_limited_synthetic,-86.10,14621.0,15600.8
fd-exchange-v3-setA-r2-0088,full_band,-79.27,20720.3,21775.5
fd-exchange-v3-setA-r2-0089,full_band,-76.33,17904.9,18098.7
fd-exchange-v3-setA-r2-0090,full_band,-93.04,21344.8,21818.5
fd-exchange-v3-setA-r2-0091,full_band,-96.54,20155.1,20510.4
fd-exchange-v3-setA-r2-0092,band_limited_synthetic,-86.27,14578.0,15676.2
fd-exchange-v3-setA-r2-0093,band_limited_synthetic,-84.76,14518.8,15864.6
fd-exchange-v3-setA-r2-0094,full_band,-96.35,,
fd-exchange-v3-setA-r2-0095,full_band,-95.09,,
fd-exchange-v3-setA-r2-0096,full_band,-91.82,,
fd-exchange-v3-setA-r2-0097,band_limited_synthetic,-86.11,14588.7,15950.7
fd-exchange-v3-setA-r2-0098,full_band,-81.41,14185.0,20009.7
fd-exchange-v3-setA-r2-0099,full_band,-92.86,19891.3,20074.3
fd-exchange-v3-setA-r2-0100,band_limited_synthetic,-84.81,14540.3,16090.7
fd-exchange-v3-setA-r2-0101,full_band,-98.51,20149.7,20688.0
fd-exchange-v3-setA-r2-0102,full_band,-95.72,20144.3,20494.2
fd-exchange-v3-setA-r2-0103,band_limited_synthetic,-84.88,14373.4,15374.7
fd-exchange-v3-setA-r2-0104,band_limited_synthetic,-93.84,14556.4,17668.0
fd-exchange-v3-setA-r2-0105,band_limited_synthetic,-85.08,14561.8,15896.9
fd-exchange-v3-setA-r2-0106,band_limited_synthetic,-85.54,14330.3,15428.5
fd-exchange-v3-setA-r2-0107,full_band,-84.27,21011.0,21360.9
fd-exchange-v3-setA-r2-0108,band_limited_synthetic,-84.28,14502.6,15934.6
fd-exchange-v3-setA-r2-0109,full_band,-77.55,21996.2,
fd-exchange-v3-setA-r2-0110,band_limited_synthetic,-83.75,14556.4,15568.5
fd-exchange-v3-setA-r2-0111,full_band,-96.95,20919.5,22050.0
fd-exchange-v3-setA-r2-0112,band_limited_synthetic,-85.08,14567.2,15923.8
fd-exchange-v3-setA-r2-0113,full_band,-93.60,22050.0,
fd-exchange-v3-setA-r2-0114,band_limited_synthetic,-84.19,14497.2,15837.7
fd-exchange-v3-setA-r2-0115,full_band,-94.48,16569.8,16769.0
fd-exchange-v3-setA-r2-0116,full_band,-89.32,,
fd-exchange-v3-setA-r2-0117,band_limited_synthetic,-87.37,14362.6,15288.6
fd-exchange-v3-setA-r2-0118,full_band,-96.15,,
fd-exchange-v3-setA-r2-0119,full_band,-94.76,20144.3,20483.5
fd-exchange-v3-setA-r2-0120,band_limited_synthetic,-93.72,14362.6,14696.4
fd-exchange-v3-setA-r2-0121,band_limited_synthetic,-93.93,14529.5,16343.7
fd-exchange-v3-setA-r2-0122,full_band,-94.91,16602.1,17398.8
fd-exchange-v3-setA-r2-0123,full_band,-95.86,20138.9,20499.6
fd-exchange-v3-setA-r2-0124,band_limited_synthetic,-85.06,14583.4,15590.0
fd-exchange-v3-setA-r2-0125,band_limited_synthetic,-90.16,14567.2,15627.7
fd-exchange-v3-setA-r2-0126,band_limited_synthetic,-86.00,14432.6,15175.5
fd-exchange-v3-setA-r2-0127,full_band,-77.41,20090.5,20203.5
fd-exchange-v3-setA-r2-0128,full_band,-96.97,,
fd-exchange-v3-setA-r2-0129,full_band,-96.34,,
fd-exchange-v3-setA-r2-0130,full_band,-94.48,20138.9,20246.6
fd-exchange-v3-setA-r2-0131,full_band,-79.58,20542.7,21323.3
fd-exchange-v3-setA-r2-0132,full_band,-95.87,,
fd-exchange-v3-setA-r2-0133,full_band,-94.96,,
fd-exchange-v3-setA-r2-0134,full_band,-98.71,,
fd-exchange-v3-setA-r2-0135,band_limited_synthetic,-93.84,14534.9,16036.9
fd-exchange-v3-setA-r2-0136,full_band,-92.93,20009.7,20219.7
fd-exchange-v3-setA-r2-0137,full_band,-95.55,,
fd-exchange-v3-setA-r2-0138,full_band,-92.94,,
fd-exchange-v3-setA-r2-0139,full_band,-98.01,16526.7,
fd-exchange-v3-setA-r2-0140,band_limited_synthetic,-83.75,14561.8,15573.9
fd-exchange-v3-setA-r2-0141,band_limited_synthetic,-93.82,14556.4,15633.1
fd-exchange-v3-setA-r2-0142,full_band,-95.34,,
fd-exchange-v3-setA-r2-0143,full_band,-95.57,,
fd-exchange-v3-setA-r2-0144,full_band,-94.78,,
fd-exchange-v3-setA-r2-0145,band_limited_synthetic,-85.06,14438.0,15810.8
fd-exchange-v3-setA-r2-0146,band_limited_synthetic,-87.43,14561.8,15547.0
fd-exchange-v3-setA-r2-0147,full_band,-84.77,16688.2,21608.6
fd-exchange-v3-setA-r2-0148,full_band,-92.76,,
fd-exchange-v3-setA-r2-0149,band_limited_synthetic,-81.49,14572.6,15547.0
fd-exchange-v3-setA-r2-0150,full_band,-89.25,,
fd-exchange-v3-setA-r2-0151,full_band,-96.13,20149.7,20273.5
fd-exchange-v3-setA-r2-0152,full_band,-96.97,20025.9,22050.0
fd-exchange-v3-setA-r2-0153,full_band,-93.07,,
fd-exchange-v3-setA-r2-0154,full_band,-96.52,20138.9,20278.9
fd-exchange-v3-setA-r2-0155,full_band,-97.05,,
fd-exchange-v3-setA-r2-0156,full_band,-94.75,20138.9,20252.0
fd-exchange-v3-setA-r2-0157,band_limited_synthetic,-81.67,14508.0,15369.3
fd-exchange-v3-setA-r2-0158,full_band,-91.62,16607.5,16758.2
fd-exchange-v3-setA-r2-0159,full_band,-96.56,,
fd-exchange-v3-setA-r2-0160,full_band,-92.88,16020.7,16559.0
fd-exchange-v3-setA-r2-0161,full_band,-92.94,,
fd-exchange-v3-setA-r2-0162,band_limited_synthetic,-81.64,14529.5,15988.4
fd-exchange-v3-setA-r2-0163,band_limited_synthetic,-93.95,14556.4,17673.4
fd-exchange-v3-setA-r2-0164,full_band,-83.96,20020.5,20225.1
fd-exchange-v3-setA-r2-0165,full_band,-96.76,,
fd-exchange-v3-setA-r2-0166,full_band,-94.72,16612.9,17377.3
fd-exchange-v3-setA-r2-0167,full_band,-95.27,16666.7,16817.4
fd-exchange-v3-setA-r2-0168,band_limited_synthetic,-84.34,14481.1,15369.3
fd-exchange-v3-setA-r2-0169,band_limited_synthetic,-87.33,14432.6,15003.3
fd-exchange-v3-setA-r2-0170,full_band,-84.89,16655.9,21597.8
fd-exchange-v3-setA-r2-0171,full_band,-76.40,21920.8,
fd-exchange-v3-setA-r2-0172,full_band,-84.24,21027.2,21382.5
fd-exchange-v3-setA-r2-0173,full_band,-96.06,,
fd-exchange-v3-setA-r2-0174,full_band,-94.63,,
fd-exchange-v3-setA-r2-0175,full_band,-94.95,,
fd-exchange-v3-setA-r2-0176,full_band,-93.55,20031.3,20402.7
fd-exchange-v3-setA-r2-0177,full_band,-96.97,20090.5,22050.0
fd-exchange-v3-setA-r2-0178,band_limited_synthetic,-83.77,14556.4,15886.1
fd-exchange-v3-setA-r2-0179,full_band,-92.01,,
fd-exchange-v3-setA-r2-0180,band_limited_synthetic,-84.78,14518.8,15886.1
fd-exchange-v3-setA-r2-0181,full_band,-98.23,,
fd-exchange-v3-setA-r2-0182,full_band,-79.26,18136.3,18782.3
fd-exchange-v3-setA-r2-0183,full_band,-96.87,,
fd-exchange-v3-setA-r2-0184,full_band,-93.72,21657.0,
fd-exchange-v3-setA-r2-0185,full_band,-94.93,20144.3,20252.0
fd-exchange-v3-setA-r2-0186,band_limited_synthetic,-85.24,14561.8,15520.1
fd-exchange-v3-setA-r2-0187,full_band,-76.74,,
fd-exchange-v3-setA-r2-0188,band_limited_synthetic,-90.33,14518.8,15692.3
