file,ladder,generation,R_phase0,R_best,best_phase,sha_note
006-09-Mahmoud-Ahmed-Tezeta.flac,L_mp3_320,1,0.7163222671680157,0.7163222671680157,0,
006-09-Mahmoud-Ahmed-Tezeta.flac,L_mp3_320,2,0.3589848498975712,0.3589848498975712,0,
006-09-Mahmoud-Ahmed-Tezeta.flac,L_mp3_320,3,0.24522378074644346,0.24522378074644346,0,
006-09-Mahmoud-Ahmed-Tezeta.flac,L_mp3_320,4,0.20751034571261148,0.20751034571261148,0,
006-09-Mahmoud-Ahmed-Tezeta.flac,A_aac_256,1,2.3324765575352835,2.239139453058706,47,
006-09-Mahmoud-Ahmed-Tezeta.flac,A_aac_256,2,2.246708171455436,2.246708171455436,0,
006-09-Mahmoud-Ahmed-Tezeta.flac,A_aac_256,3,2.31973567694347,2.31973567694347,0,
006-09-Mahmoud-Ahmed-Tezeta.flac,A_aac_256,4,2.3732652796102536,2.2901375156351738,47,
007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,master,0,3.1680212880796352,3.0727468607791324,47,
007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,L_mp3_320,1,0.9242766112654037,0.9242766112654037,0,
007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,L_mp3_320,2,0.5683351858804374,0.5683351858804374,0,
007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,L_mp3_320,3,0.3332471065420747,0.3332471065420747,0,
007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,L_mp3_320,4,0.36898287054286516,0.36898287054286516,0,
007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,A_aac_256,1,2.9176161740307256,2.9176161740307256,0,
007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,A_aac_256,2,2.75286818790698,2.75286818790698,0,
007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,A_aac_256,3,2.882081770532792,2.8629520280416028,529,
007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,A_aac_256,4,2.7540930861196813,2.7540930861196813,0,
008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,master,0,2.874039255860523,2.837906477180762,47,
008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,L_mp3_320,1,0.9153033868912841,0.9153033868912841,0,
008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,L_mp3_320,2,0.32655872425124677,0.32655872425124677,0,
008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,L_mp3_320,3,0.17799840762971858,0.17799840762971858,0,
008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,L_mp3_320,4,0.16145324141176276,0.16145324141176276,0,
008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,A_aac_256,1,2.839849345575441,2.6847730893798607,529,
008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,A_aac_256,2,2.6997286816656887,2.6030319670618267,529,
008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,A_aac_256,3,2.6874327607450024,2.657117073949969,529,
008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,A_aac_256,4,2.6582289731209596,2.6582289731209596,0,
009-03-Ilya-Beshevli-To-solitude.flac,master,0,3.403958268835832,3.3438066041766445,47,
009-03-Ilya-Beshevli-To-solitude.flac,L_mp3_320,1,0.8742613703395454,0.8742613703395454,0,
009-03-Ilya-Beshevli-To-solitude.flac,L_mp3_320,2,0.3894226593150343,0.3894226593150343,0,
009-03-Ilya-Beshevli-To-solitude.flac,L_mp3_320,3,0.2453484225500832,0.2453484225500832,0,
009-03-Ilya-Beshevli-To-solitude.flac,L_mp3_320,4,0.22493423942808866,0.22493423942808866,0,
009-03-Ilya-Beshevli-To-solitude.flac,A_aac_256,1,3.48887612247394,3.4797510405425083,529,
009-03-Ilya-Beshevli-To-solitude.flac,A_aac_256,2,3.513370528203218,3.513370528203218,0,
009-03-Ilya-Beshevli-To-solitude.flac,A_aac_256,3,3.516396298045705,3.516396298045705,0,
009-03-Ilya-Beshevli-To-solitude.flac,A_aac_256,4,3.6577986522748596,3.6577986522748596,0,
010-06-Jon-Hassell-These-times.flac,master,0,4.034635986154079,3.9168265954740136,529,
010-06-Jon-Hassell-These-times.flac,L_mp3_320,1,0.06480777122449365,0.06480777122449365,0,
010-06-Jon-Hassell-These-times.flac,L_mp3_320,2,0.4032681338302094,0.4032681338302094,0,
010-06-Jon-Hassell-These-times.flac,L_mp3_320,3,0.23707145538832017,0.23707145538832017,0,
010-06-Jon-Hassell-These-times.flac,L_mp3_320,4,0.030037755271497116,0.030037755271497116,0,
010-06-Jon-Hassell-These-times.flac,A_aac_256,1,4.007356332160018,4.007356332160018,0,
010-06-Jon-Hassell-These-times.flac,A_aac_256,2,3.9679562095553136,3.9679562095553136,0,
010-06-Jon-Hassell-These-times.flac,A_aac_256,3,4.070625474806594,4.033309251462892,529,
010-06-Jon-Hassell-These-times.flac,A_aac_256,4,4.292695707455127,4.079460894827088,47,
011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,master,0,3.1437425415121107,3.058104095036318,47,
011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,L_mp3_320,1,0.9402519555464979,0.9402519555464979,0,
011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,L_mp3_320,2,0.6421048369874798,0.6421048369874798,0,
011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,L_mp3_320,3,0.39536314892149343,0.39536314892149343,0,
011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,L_mp3_320,4,0.384103257684636,0.384103257684636,0,
011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,A_aac_256,1,3.1837212338229612,3.1075171550577214,47,
011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,A_aac_256,2,3.0587139401489383,3.0587139401489383,0,
011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,A_aac_256,3,3.1350115024328855,3.0811229518208902,529,
011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,A_aac_256,4,3.1562951932925953,3.111329951675477,47,
012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,master,0,4.890044128474837,4.890044128474837,0,
012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,L_mp3_320,1,2.119789668608961,2.119789668608961,0,
012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,L_mp3_320,2,1.6143565690345807,1.6143565690345807,0,
012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,L_mp3_320,3,1.0832778249848363,1.0832778249848363,0,
012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,L_mp3_320,4,0.9533742204793944,0.9533742204793944,0,
012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,A_aac_256,1,4.759017656383009,4.571486477773595,529,
012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,A_aac_256,2,4.646514855623723,4.492326227596851,47,
012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,A_aac_256,3,4.4543383280373705,4.4283110952835365,529,
012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,A_aac_256,4,4.522615124589785,4.376476058143899,47,
013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,master,0,2.1408085316634318,2.1408085316634318,0,
013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,L_mp3_320,1,0.5277138146357385,0.5277138146357385,0,
013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,L_mp3_320,2,0.30298319488004294,0.30298319488004294,0,
013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,L_mp3_320,3,0.1848962271764282,0.1848962271764282,0,
013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,L_mp3_320,4,0.07228728407309608,0.07228728407309608,0,
013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,A_aac_256,1,2.3011742022488653,2.3011742022488653,0,
013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,A_aac_256,2,2.2495348642613577,2.2495348642613577,0,
013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,A_aac_256,3,2.220514669157501,2.220514669157501,0,
013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,A_aac_256,4,2.266962306294658,2.1575692520685013,529,
014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,master,0,2.0151810704387136,1.9522444029532102,529,
014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,L_mp3_320,1,0.3584336337916813,0.3584336337916813,0,
014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,L_mp3_320,2,0.15158866313121333,0.15158866313121333,0,
014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,L_mp3_320,3,0.16607118371674318,0.16607118371674318,0,
