population,path,rate,R_phase0,R_best,best_phase,searched_phase,searched_d1
wild_owner,01 Sunlight (Breeze & Styles remix).wav,44100,2.2494188184389166,2.2259242610006207,47,329,1.154644239892751
wild_owner,02 Feeling Fine (Darren Styles mix).wav,44100,3.1444573943294465,3.1444573943294465,0,227,0.48501848773776546
wild_owner,03 Blue Anthem.wav,44100,3.0586215342829077,3.0586215342829077,0,40,0.6601935009734983
wild_owner,04 Chemical Love (Hardcore mix).wav,44100,3.278529298701493,3.278529298701493,0,375,0.4610568499091006
wild_owner,05 Taking Me Higher.wav,44100,2.616996935725484,2.442464201434356,74,74,0.7151007707622952
wild_owner,06 Aurora.wav,44100,3.2121930688179483,3.2121930688179483,0,201,0.7428667931053307
wild_owner,07 Heartbeatz (Scott Brown remix).wav,44100,3.003026035835932,3.003026035835932,0,453,0.5768954158113255
wild_owner,08 I Would Stay (Scott Brown Hardcore mix).wav,44100,2.0931169112964016,2.0905566728993326,480,480,0.46889597085855994
wild_owner,09 Drop the Beats.wav,44100,3.0720535872213772,2.999426209544818,47,365,0.48365984783582433
wild_owner,10 Suck My…!.wav,44100,3.569323001815348,3.316447505239961,47,35,0.48356176895426545
wild_owner,11 You’re My Angel.wav,44100,2.454214734137349,2.3669214163720613,529,359,0.5097411685448018
wild_owner,12 Cokane (Back to Basics mix).wav,44100,3.502853153095766,3.4755157802413548,529,499,0.6613220305814248
wild_owner,"13 24,7 (Breeze & Styles remix).wav",44100,3.0046064967653665,3.0046064967653665,0,174,0.621452186571813
wild_owner,14 The Craft.wav,44100,3.5941596178820383,3.5051039701643747,47,178,0.7005037532910442
wild_owner,15 Free Again.wav,44100,3.3541183682075375,3.211146719695974,529,429,0.448577389910568
wild_owner,16 Dancing the Night Away (Gammer remix).wav,44100,3.9851519947245446,3.9429567121819664,44,44,1.224244370313143
wild_owner,17 Injected With a Poison (Hixxy’s HTID remix (Harcode Til I Die)).wav,44100,1.8862134668161397,1.8862134668161397,0,48,0.4133398913251331
wild_owner,01 Won’t Forget These Days.wav,44100,2.3839037894003914,2.279531805789951,47,74,0.606859078361152
wild_owner,02 Fell From the Stars.wav,44100,3.076321844659588,2.9467825750715533,321,321,0.4659989179355243
wild_owner,03 Make the Beat Drop.wav,44100,3.2506457982168,3.105104862114531,529,247,0.46565627709247437
wild_owner,04 The Way (Put Your Hand in My Hand) (Breeze & Styles remix).wav,44100,3.6860146449696467,3.6032299268049566,47,8,0.6216015611935929
wild_owner,05 Be Cool (Dougal & Gammer remix).wav,44100,3.8804677916086834,3.589365795482376,529,160,0.38509348575622554
wild_owner,06 Pretty Green Eyes (hardcore remix).wav,44100,3.1360848286141763,3.0706945968117423,47,265,0.7165477132363993
wild_owner,07 Fly With You.wav,44100,2.855413068359962,2.855413068359962,0,427,0.5140212644679385
wild_owner,08 One and Only.wav,44100,4.022613715977719,3.6795908010757516,220,220,0.3978045274730417
wild_owner,09 Star Tonight.wav,44100,3.5456987815967604,3.5085497614956314,529,147,0.46970958130563945
wild_owner,10 The Piano Song.wav,44100,3.4354166393122867,3.1431690327320556,529,302,0.40829400191241566
wild_owner,11 Yo DJ.wav,44100,4.085379498172293,4.085379498172293,0,95,0.38981057259763613
wild_owner,12 Through the Darkness.wav,44100,3.4574188691915753,3.3480489058942164,47,300,0.39417131028425995
wild_owner,13 Angel Eyes.wav,44100,2.7641377075034534,2.749927389288004,529,532,0.7911808064296587
wild_owner,14 Stomp.wav,44100,3.6668889210607905,3.4734782508375495,47,533,0.6126145509084241
wild_owner,15 No More Joking (Sy & Unknown remix).wav,44100,3.1520890835330784,3.1520890835330784,0,25,0.5731852488054049
wild_owner,16 Eternal Darkness.wav,44100,3.81503822071724,3.6221657356270915,529,54,0.40842142582254787
wild_owner,17 Know the Score.wav,44100,3.1276330613536385,3.1276330613536385,0,134,0.4590590921448817
