file,population,expected,attributed,min_z,margin,R_mp3,R_aac,R_vorbis,R_opus,R_mp2
012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,fake/aacmf_256,aac,abstain,-0.950,0.018,5.2712,0.7554,0.8804,8.8350,0.3000
013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,fake/aacmf_256,aac,abstain,-1.053,0.046,2.2825,10.0924,0.7645,8.0212,4.1175
014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,fake/aacmf_256,aac,opus,-3.545,2.076,1.9394,5.9192,4.9037,2.8567,5.9570
015-08-Jos-Gonz-lez-Vissel.flac,fake/aacmf_256,aac,abstain,-0.586,0.932,3.2885,4.5595,4.3507,7.9509,3.7223
016-03-Memory-Tapes-Green-knight.flac,fake/aacmf_256,aac,abstain,-0.669,0.442,3.1229,1.0815,2.3450,9.8546,0.7470
017-13-Cafe-Del-Mar-Submariner.flac,fake/aacmf_256,aac,abstain,-0.746,0.046,3.9915,1.5336,1.1599,9.6277,0.6161
018-04-Bag-o-wire-Resovoir.flac,fake/aacmf_256,aac,abstain,-0.001,0.056,3.0721,9.7174,2.7830,11.0543,1.8842
019-04-Kohi-Jadu.flac,fake/aacmf_256,aac,abstain,-1.187,0.721,2.8630,3.1505,0.6149,9.0431,1.0934
020-06-Bola-Tigantabame.flac,fake/aacmf_256,aac,abstain,-1.156,0.346,4.1974,1.4240,0.6489,8.3958,0.5063
021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,fake/aacmf_256,aac,abstain,-0.668,0.459,4.3545,1.2014,2.1559,8.5995,0.7485
022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,fake/aacmf_256,aac,abstain,-1.918,0.931,1.6059,6.6654,2.8556,11.0524,0.2049
023-01-Yusef-Lateef-Buddy-and-lou.flac,fake/aacmf_256,aac,abstain,-1.316,0.381,3.5579,1.4159,0.4706,7.9457,0.2941
012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,fake/opus_256,opus,opus,-3.011,1.973,5.3059,-0.3230,1.2154,3.7766,0.1185
013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,fake/opus_256,opus,opus,-4.280,3.071,2.1327,8.1244,2.7177,1.5924,4.1934
