track,sample_rate,cutoff,energy_ratio,cutoff_std,residual_floor_db,container_kbps
08 - The Elcados -  Chokoi & oreje.flac,44100,19000.0,2.016e-06,117.9,-62.9,874
11 - Piotr Tchaikovsky -  Act iii - no.21 spanish dance.flac,44100,22050.0,5.788e-05,0.0,nan,784
10 - Para One -  Lean on me.flac,44100,22050.0,8.640e-05,0.0,nan,921
10 - anonymous (knight home-recording disc) -  Beautiful mansions of gold.flac,44100,22050.0,7.877e-06,0.0,nan,464
08 - Ensemble National des Percussions de Guinée -  Mahsou.flac,44100,22050.0,3.445e-06,0.0,nan,708
Inspiration information vol. 1 - 12 - The Heliocentrics - Fire in the zoo.flac,44100,20250.0,5.310e-06,424.9,-32.8,887
27 - The Uhuru Dance Band -  Yahyia mu.flac,44100,18000.0,2.270e-06,117.9,nan,545
13 - Orquesta Reve -  Suave suave.flac,44100,21750.0,3.350e-06,141.4,nan,891
11 - Twinkle Brothers & The Trebunia Family Band -  Don't betray me.flac,44100,20000.0,7.365e-06,117.9,-51.8,928
07 - Henagar-Union Sacred Harp Convention -  Invocation.flac,44100,22050.0,2.019e-07,0.0,nan,827
06 - BKO Quintet -  Kononale.flac,44100,22050.0,1.829e-06,0.0,nan,821
"15 - Natal'ja Dem'janovna Vorbon, Raisa Maksimovna Talina -  Hand games.flac",44100,22050.0,1.611e-03,0.0,nan,597
02 - Toumani Diabate with Ballake Sissoko -  Salama.flac,44100,22050.0,1.972e-05,0.0,nan,649
01 - Ali Kuru -  Bir kapiyim simsiyah.flac,44100,22050.0,5.684e-07,0.0,nan,888
01 - Nitin Sawhney -  Homelands (joe claussell remix).flac,44100,21250.0,5.160e-06,0.0,nan,933
02 - Sébastien Tellier -  League chicanos.flac,44100,22050.0,3.444e-05,0.0,nan,935
07 - Penny Penny -  Milandu bhe.flac,44100,22050.0,9.519e-06,0.0,nan,1052
01 - Jordi Savall -  El moro de antequera (rhodes).flac,44100,22050.0,1.011e-07,0.0,nan,563
10 - Jean Yanne -  Homosexualis Discothecus.flac,44100,21000.0,9.715e-06,117.9,nan,880
01 - The Har You Percussion Group -  Welcome to the party.flac,44100,21000.0,7.845e-07,495.0,nan,840
01 - Tserendavaa & Tsogtgerel -  Mongol gerin magtaal.flac,44100,22050.0,3.753e-07,0.0,nan,717
15 - Jordi Savall -  Concert xli le retour (en pianelle).flac,44100,22050.0,5.077e-06,0.0,nan,653
02 - Sébastien Tellier -  La ritournelle (mr dan's mix).flac,44100,21250.0,8.087e-05,235.7,nan,1029
02 - Alemu Aga -  Medinanna zelesegna (medina and zelesegna) (about the futility of life).flac,44100,22050.0,3.774e-07,0.0,nan,661
"06 - Bruce Green, Tweedie Gibson, Clifton Green -  Up in the heaven shouting.flac",44100,21750.0,1.493e-06,141.4,nan,645
01 - Miriam Makeba -  Teya teya.flac,44100,21250.0,8.336e-08,204.1,nan,770
07 - E-Love -  Cause i love you no more (alster lounge chill out vocal mix).flac,44100,16000.0,2.000e-09,0.0,nan,830
Jungle run - 04 - Nubiyan Twist - Brothe.flac,44100,21000.0,3.376e-06,117.9,nan,882
13 - Arat Kilo & Mamani Keita -  Madala (Mali).flac,44100,21000.0,5.945e-06,495.0,nan,932
12 - Juaneco y su combo -  Vacilando con ayahuesca.flac,44100,18750.0,1.296e-06,0.0,-48.0,876
02 - Sahale -  Sapana.flac,44100,18750.0,3.586e-07,1555.6,-38.8,684
06 - Reverend R. C. Crenshaw & Congregation -  I'm goin' home on the mornin' train.flac,44100,22050.0,2.987e-06,0.0,nan,795
10 - Bamboma Ethnic Groups -  Yala ku yala.flac,44100,22050.0,8.635e-08,0.0,nan,673
10 - Family Atlantica -  Near the ocean.flac,44100,21000.0,1.922e-05,0.0,nan,894
04 - Jordi Savall -  Tiento ii. cuarto tono.flac,44100,22050.0,7.469e-08,0.0,nan,582
08 - Les Kings -  Oriza.flac,44100,21000.0,4.260e-08,117.9,nan,774
07 - Simplicity People -  Nowhere.flac,44100,22050.0,3.102e-07,0.0,nan,443
08 - Engine-EarZ Experiment & Kate Havnevik -  Blue moon (kinobe remix).flac,44100,20000.0,1.516e-05,0.0,-17.0,878
01 - Fadhl Shaker -  Ya ghayeb.flac,44100,22050.0,1.675e-04,0.0,nan,1012
01 - Wax Tailor -  Phonovisions.flac,44100,21250.0,9.381e-07,0.0,nan,844
01 Origin of the World.flac,44100,22050.0,1.213e-06,0.0,nan,697
09- Clasiqueando con Rubén.flac,44100,22050.0,1.382e-05,0.0,nan,941
07 - Davey Miller -  My pretty little indian napanee.flac,44100,19750.0,4.466e-08,957.7,-31.2,347
08 - Joe Hisaishi -  Angel bell.flac,44100,22050.0,2.195e-08,0.0,nan,611
