arm,file,geometry,ratio,offset
genuine,019-04-Kohi-Jadu.flac,aac_2048,1.4884,856
genuine,020-06-Bola-Tigantabame.flac,mp3_frame_1152,1.6154,123
genuine,020-06-Bola-Tigantabame.flac,mp3_granule_576,1.8462,220
genuine,020-06-Bola-Tigantabame.flac,aac_2048,1.5581,903
genuine,021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,mp3_frame_1152,1.8696,146
genuine,021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,mp3_granule_576,1.9091,43
genuine,021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,aac_2048,1.6585,300
genuine,022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,mp3_frame_1152,1.7083,4
genuine,022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,mp3_granule_576,1.8333,232
genuine,022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,aac_2048,1.5765,946
genuine,023-01-Yusef-Lateef-Buddy-and-lou.flac,mp3_frame_1152,1.6400,211
genuine,023-01-Yusef-Lateef-Buddy-and-lou.flac,mp3_granule_576,1.8333,81
genuine,023-01-Yusef-Lateef-Buddy-and-lou.flac,aac_2048,1.6087,684
genuine,024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,mp3_frame_1152,1.6667,340
genuine,024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,mp3_granule_576,1.7500,172
genuine,024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,aac_2048,1.5238,802
mp3_320,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,mp3_frame_1152,1.7391,388
mp3_320,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,mp3_granule_576,1.8333,4
mp3_320,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,aac_2048,1.5122,975
mp3_320,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,mp3_frame_1152,1.6522,369
mp3_320,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,mp3_granule_576,2.3636,164
mp3_320,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,aac_2048,1.6585,798
mp3_320,002-03-Hraach-Let-it-go.flac,mp3_frame_1152,1.6522,544
mp3_320,002-03-Hraach-Let-it-go.flac,mp3_granule_576,2.0000,71
mp3_320,002-03-Hraach-Let-it-go.flac,aac_2048,1.5366,641
mp3_320,003-01-Thor-Dari-lullaby.flac,mp3_frame_1152,1.6000,203
mp3_320,003-01-Thor-Dari-lullaby.flac,mp3_granule_576,2.0000,221
mp3_320,003-01-Thor-Dari-lullaby.flac,aac_2048,1.5227,388
mp3_320,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,mp3_frame_1152,1.6522,130
mp3_320,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,mp3_granule_576,1.9167,4
mp3_320,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,aac_2048,1.6429,397
mp3_320,005-17-Los-Seven-Del-Swing-Celoso.flac,mp3_frame_1152,1.6000,355
mp3_320,005-17-Los-Seven-Del-Swing-Celoso.flac,mp3_granule_576,2.0000,40
mp3_320,005-17-Los-Seven-Del-Swing-Celoso.flac,aac_2048,1.5610,699
mp3_320,006-09-Mahmoud-Ahmed-Tezeta.flac,mp3_frame_1152,1.7391,359
mp3_320,006-09-Mahmoud-Ahmed-Tezeta.flac,mp3_granule_576,1.9091,207
mp3_320,006-09-Mahmoud-Ahmed-Tezeta.flac,aac_2048,1.4878,146
mp3_320,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,mp3_frame_1152,1.7391,57
mp3_320,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,mp3_granule_576,2.1905,286
mp3_320,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,aac_2048,1.5610,70
mp3_320,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,mp3_frame_1152,1.6522,543
mp3_320,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,mp3_granule_576,1.8182,285
mp3_320,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,aac_2048,1.6429,207
mp3_320,009-03-Ilya-Beshevli-To-solitude.flac,mp3_frame_1152,1.7255,534
mp3_320,009-03-Ilya-Beshevli-To-solitude.flac,mp3_granule_576,2.1538,131
mp3_320,009-03-Ilya-Beshevli-To-solitude.flac,aac_2048,1.5682,779
mp3_320,010-06-Jon-Hassell-These-times.flac,mp3_frame_1152,1.6667,385
mp3_320,010-06-Jon-Hassell-These-times.flac,mp3_granule_576,1.7500,32
mp3_320,010-06-Jon-Hassell-These-times.flac,aac_2048,1.5122,438
mp3_320,011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,mp3_frame_1152,1.7500,490
mp3_320,011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,mp3_granule_576,1.9167,34
mp3_320,011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,aac_2048,1.5122,836
mp3_320,012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,mp3_frame_1152,1.6522,317
mp3_320,012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,mp3_granule_576,1.9167,167
mp3_320,012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,aac_2048,1.6829,141
mp3_320,013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,mp3_frame_1152,1.6522,362
mp3_320,013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,mp3_granule_576,1.9091,85
mp3_320,013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,aac_2048,1.5476,935
mp3_320,014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,mp3_frame_1152,1.7826,492
mp3_320,014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,mp3_granule_576,1.8333,155
mp3_320,014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,aac_2048,1.5122,68
mp3_320,015-08-Jos-Gonz-lez-Vissel.flac,mp3_frame_1152,1.6957,17
mp3_320,015-08-Jos-Gonz-lez-Vissel.flac,mp3_granule_576,1.9091,68
mp3_320,015-08-Jos-Gonz-lez-Vissel.flac,aac_2048,1.5122,565
mp3_320,016-03-Memory-Tapes-Green-knight.flac,mp3_frame_1152,1.6957,284
mp3_320,016-03-Memory-Tapes-Green-knight.flac,mp3_granule_576,1.8182,252
