source,arm,ratio,offset,hypothesis,lattice,temporal,stereo
tlg2006-10-21.mk4v.flac16__tlg2006-10-21d1t01.flac,coreaudio_256,1.3452,723,vorbis,1.0349,0.7828,1.8750
tlg2006-10-21.mk4v.flac16__tlg2006-10-21d1t01.flac,coreaudio_320,1.2663,481,kbd,1.0387,0.4741,1.0000
tlg2006-10-21.mk4v.flac16__tlg2006-10-21d1t03.flac,genuine,1.2805,199,vorbis,1.0282,0.5183,1.0000
tlg2006-10-21.mk4v.flac16__tlg2006-10-21d1t03.flac,coreaudio_128,1.5795,960,vorbis,1.0902,0.7252,2.8790
tlg2006-10-21.mk4v.flac16__tlg2006-10-21d1t03.flac,coreaudio_256,1.4286,960,vorbis,1.0479,0.6614,2.6316
tlg2006-10-21.mk4v.flac16__tlg2006-10-21d1t03.flac,coreaudio_320,1.3580,907,kbd,1.0405,0.5193,1.0000
tsp2007-06-19.mbho.flac16__tsp2007-06-19.mbho.d1t01.flac,genuine,1.2000,580,vorbis,1.0305,0.5519,1.3739
tsp2007-06-19.mbho.flac16__tsp2007-06-19.mbho.d1t01.flac,coreaudio_128,1.6476,960,vorbis,1.0717,0.5062,17.2381
tsp2007-06-19.mbho.flac16__tsp2007-06-19.mbho.d1t01.flac,coreaudio_256,1.3125,393,kbd,1.0351,0.6280,8.7248
tsp2007-06-19.mbho.flac16__tsp2007-06-19.mbho.d1t01.flac,coreaudio_320,1.2824,172,kbd,1.0296,0.5611,1.3858
tsp2007-06-19.mbho.flac16__tsp2007-06-19.mbho.d1t02.flac,genuine,1.2346,93,vorbis,1.0361,0.3675,1.1250
tsp2007-06-19.mbho.flac16__tsp2007-06-19.mbho.d1t02.flac,coreaudio_128,1.3568,706,kbd,1.0397,0.7876,16.4778
tsp2007-06-19.mbho.flac16__tsp2007-06-19.mbho.d1t02.flac,coreaudio_256,1.5904,960,vorbis,1.0533,0.6332,6.3481
tsp2007-06-19.mbho.flac16__tsp2007-06-19.mbho.d1t02.flac,coreaudio_320,1.1852,227,kbd,1.0317,0.3764,1.1402
vorcza2005-12-09__vorcza2005-12-09d1t01.flac,genuine,1.2410,203,vorbis,1.0336,0.7048,1.0000
vorcza2005-12-09__vorcza2005-12-09d1t01.flac,coreaudio_128,1.2849,251,vorbis,1.0356,0.7511,1.1384
vorcza2005-12-09__vorcza2005-12-09d1t01.flac,coreaudio_256,1.3690,960,kbd,1.0291,0.7660,1.1304
vorcza2005-12-09__vorcza2005-12-09d1t01.flac,coreaudio_320,1.2750,806,vorbis,1.0373,0.7167,1.0000
vorcza2005-12-09__vorcza2005-12-09d1t02.flac,genuine,1.2024,263,vorbis,1.0397,0.3631,1.0000
vorcza2005-12-09__vorcza2005-12-09d1t02.flac,coreaudio_128,2.3021,960,vorbis,1.0808,0.7692,1.4021
vorcza2005-12-09__vorcza2005-12-09d1t02.flac,coreaudio_256,1.3095,697,kbd,1.0341,0.3481,1.3694
vorcza2005-12-09__vorcza2005-12-09d1t02.flac,coreaudio_320,1.4512,636,vorbis,1.0349,0.3538,1.0000
wz1976-12-08.sbeok.flac16__wz1976-12-08t01.flac,genuine,1.1979,685,kbd,1.0250,0.9305,1.6078
wz1976-12-08.sbeok.flac16__wz1976-12-08t01.flac,coreaudio_128,1.1855,509,vorbis,1.0366,0.7458,4.6994
wz1976-12-08.sbeok.flac16__wz1976-12-08t01.flac,coreaudio_256,1.3196,127,vorbis,1.0398,0.8729,3.8350
wz1976-12-08.sbeok.flac16__wz1976-12-08t01.flac,coreaudio_320,1.2234,1019,kbd,1.0412,0.9260,1.5912
wz1976-12-08.sbeok.flac16__wz1976-12-08t02.flac,genuine,1.2211,549,vorbis,1.0425,0.8963,1.5901
wz1976-12-08.sbeok.flac16__wz1976-12-08t02.flac,coreaudio_128,1.2710,1023,kbd,1.0377,0.8459,4.6461
wz1976-12-08.sbeok.flac16__wz1976-12-08t02.flac,coreaudio_256,1.2947,989,kbd,1.0540,0.8367,3.4902
wz1976-12-08.sbeok.flac16__wz1976-12-08t02.flac,coreaudio_320,1.1979,69,vorbis,1.0397,0.8952,1.5897
ymsb2006-05-09.flac16__ymsb2006-05-09t01.flac,genuine,1.3049,410,kbd,1.0362,0.4013,1.0000
ymsb2006-05-09.flac16__ymsb2006-05-09t01.flac,coreaudio_128,2.1443,960,vorbis,1.0670,0.5471,1.7366
ymsb2006-05-09.flac16__ymsb2006-05-09t01.flac,coreaudio_256,1.2353,602,kbd,1.0417,0.4259,1.7375
ymsb2006-05-09.flac16__ymsb2006-05-09t01.flac,coreaudio_320,1.2381,566,vorbis,1.0280,0.4135,1.0000
ymsb2006-05-09.flac16__ymsb2006-05-09t02.flac,genuine,1.3095,450,kbd,1.0346,0.4722,1.0000
ymsb2006-05-09.flac16__ymsb2006-05-09t02.flac,coreaudio_128,1.2626,126,vorbis,1.0358,0.4004,1.1111
ymsb2006-05-09.flac16__ymsb2006-05-09t02.flac,coreaudio_256,1.3333,743,vorbis,1.0372,0.5089,1.1000
ymsb2006-05-09.flac16__ymsb2006-05-09t02.flac,coreaudio_320,1.2982,643,vorbis,1.0451,0.4865,1.0000
