source,arm,ratio,offset,hypothesis,lattice,temporal,stereo
esmith2003-01-31.flac16__es2003-01-31d1t01.flac,coreaudio_128,1.3801,951,kbd,1.0245,0.5541,2.6095
esmith2003-01-31.flac16__es2003-01-31d1t01.flac,coreaudio_256,1.2393,688,kbd,1.0368,0.4196,2.1791
esmith2003-01-31.flac16__es2003-01-31d1t01.flac,coreaudio_320,1.2619,608,kbd,1.0325,0.2881,1.0000
esmith2003-01-31.flac16__es2003-01-31d1t02.flac,genuine,1.3012,365,kbd,1.0383,0.2603,1.0000
esmith2003-01-31.flac16__es2003-01-31d1t02.flac,coreaudio_128,2.4945,960,vorbis,1.0758,0.7259,4.0385
esmith2003-01-31.flac16__es2003-01-31d1t02.flac,coreaudio_256,1.2471,1014,kbd,1.0397,0.6154,2.8571
esmith2003-01-31.flac16__es2003-01-31d1t02.flac,coreaudio_320,1.2976,996,vorbis,1.0365,0.2834,0.5000
gd1975-06-17.aud.unknown.87560.flac16__gd75-06-17s1t01.flac,genuine,1.2174,437,vorbis,1.0232,0.2557,1.0000
gd1975-06-17.aud.unknown.87560.flac16__gd75-06-17s1t01.flac,coreaudio_128,1.2727,268,kbd,1.0405,0.5183,5.9208
gd1975-06-17.aud.unknown.87560.flac16__gd75-06-17s1t01.flac,coreaudio_256,1.2911,861,kbd,1.0367,0.5418,3.8875
gd1975-06-17.aud.unknown.87560.flac16__gd75-06-17s1t01.flac,coreaudio_320,1.2195,143,kbd,1.0319,0.2716,3.0000
gd1975-06-17.aud.unknown.87560.flac16__gd75-06-17s1t03.flac,genuine,1.3125,958,vorbis,1.0310,0.1937,1.0000
gd1975-06-17.aud.unknown.87560.flac16__gd75-06-17s1t03.flac,coreaudio_128,1.7917,960,vorbis,1.0793,0.6439,27.4375
gd1975-06-17.aud.unknown.87560.flac16__gd75-06-17s1t03.flac,coreaudio_256,1.7654,960,vorbis,1.0467,0.7253,8.0000
gd1975-06-17.aud.unknown.87560.flac16__gd75-06-17s1t03.flac,coreaudio_320,1.2353,382,kbd,1.0410,0.2474,5.1250
gd1977-05-08.shure57.stevenson.29303.flac16__gd1977-05-08d01t01.flac,genuine,1.2000,175,kbd,1.0314,0.2339,0.0000
gd1977-05-08.shure57.stevenson.29303.flac16__gd1977-05-08d01t01.flac,coreaudio_128,1.5000,960,vorbis,1.0592,0.8864,7.1640
gd1977-05-08.shure57.stevenson.29303.flac16__gd1977-05-08d01t01.flac,coreaudio_256,1.7126,960,vorbis,1.0443,0.2299,0.0000
gd1977-05-08.shure57.stevenson.29303.flac16__gd1977-05-08d01t01.flac,coreaudio_320,1.2771,465,kbd,1.0353,0.2383,0.0000
gd1977-05-08.shure57.stevenson.29303.flac16__gd1977-05-08d01t02.flac,genuine,1.2892,504,kbd,1.0360,0.2550,0.0000
gd1977-05-08.shure57.stevenson.29303.flac16__gd1977-05-08d01t02.flac,coreaudio_128,1.6635,960,vorbis,1.0706,0.8929,7.7537
gd1977-05-08.shure57.stevenson.29303.flac16__gd1977-05-08d01t02.flac,coreaudio_256,1.6000,960,kbd,1.0572,0.2279,0.0000
gd1977-05-08.shure57.stevenson.29303.flac16__gd1977-05-08d01t02.flac,coreaudio_320,1.2651,889,vorbis,1.0382,0.2606,0.0000
gd1978-12-16.sonyecm250-no-dolby.walker-scotton.miller.82212.sbeok.flac16__gd78-12-16d1t02.flac,genuine,1.3038,673,kbd,1.0310,0.2443,0.0000
gd1978-12-16.sonyecm250-no-dolby.walker-scotton.miller.82212.sbeok.flac16__gd78-12-16d1t02.flac,coreaudio_128,1.2845,960,vorbis,1.0648,0.6825,25.2611
gd1978-12-16.sonyecm250-no-dolby.walker-scotton.miller.82212.sbeok.flac16__gd78-12-16d1t02.flac,coreaudio_256,1.3086,254,kbd,1.0388,0.2372,0.0000
gd1978-12-16.sonyecm250-no-dolby.walker-scotton.miller.82212.sbeok.flac16__gd78-12-16d1t02.flac,coreaudio_320,1.2381,459,vorbis,1.0271,0.2330,0.0000
gd1978-12-16.sonyecm250-no-dolby.walker-scotton.miller.82212.sbeok.flac16__gd78-12-16d1t03.flac,genuine,1.2426,650,kbd,1.0291,0.1888,0.0000
gd1978-12-16.sonyecm250-no-dolby.walker-scotton.miller.82212.sbeok.flac16__gd78-12-16d1t03.flac,coreaudio_128,1.2227,90,vorbis,1.0380,0.6540,20.6250
gd1978-12-16.sonyecm250-no-dolby.walker-scotton.miller.82212.sbeok.flac16__gd78-12-16d1t03.flac,coreaudio_256,1.6886,960,kbd,1.0564,0.1900,0.0000
gd1978-12-16.sonyecm250-no-dolby.walker-scotton.miller.82212.sbeok.flac16__gd78-12-16d1t03.flac,coreaudio_320,1.3136,75,kbd,1.0260,0.1903,0.0000
gd1980-12-06.151263.betty.master.flac16__01 Introduction.flac,genuine,1.2024,120,vorbis,1.0375,0.2966,0.0000
gd1980-12-06.151263.betty.master.flac16__01 Introduction.flac,coreaudio_128,1.6286,960,vorbis,1.0765,0.9042,1.9815
gd1980-12-06.151263.betty.master.flac16__01 Introduction.flac,coreaudio_256,1.3250,816,kbd,1.0251,0.2823,0.0000
gd1980-12-06.151263.betty.master.flac16__01 Introduction.flac,coreaudio_320,1.2716,716,vorbis,1.0338,0.2941,0.0000
gd1980-12-06.151263.betty.master.flac16__02 Dire Wolf.flac,genuine,1.2638,212,kbd,1.0300,0.2992,0.0000
gd1980-12-06.151263.betty.master.flac16__02 Dire Wolf.flac,coreaudio_128,1.8564,960,vorbis,1.0704,0.7532,8.1639
gd1980-12-06.151263.betty.master.flac16__02 Dire Wolf.flac,coreaudio_256,1.5309,960,vorbis,1.0406,0.2938,0.0000
gd1980-12-06.151263.betty.master.flac16__02 Dire Wolf.flac,coreaudio_320,1.2317,395,vorbis,1.0317,0.2358,0.0000
gdegraw2004-04-18.flac16__gdegraw2004-04-18d1t01.flac,genuine,1.1617,546,vorbis,1.0279,0.4452,1.0000
gdegraw2004-04-18.flac16__gdegraw2004-04-18d1t01.flac,coreaudio_128,1.7736,960,vorbis,1.0387,0.8594,13.0500
gdegraw2004-04-18.flac16__gdegraw2004-04-18d1t01.flac,coreaudio_256,1.2771,1016,kbd,1.0292,0.4266,6.8810
gdegraw2004-04-18.flac16__gdegraw2004-04-18d1t01.flac,coreaudio_320,1.2125,911,kbd,1.0384,0.4442,1.0000
gdegraw2004-04-18.flac16__gdegraw2004-04-18d1t02.flac,genuine,1.2222,505,vorbis,1.0380,0.4926,1.0000
gdegraw2004-04-18.flac16__gdegraw2004-04-18d1t02.flac,coreaudio_128,1.2410,47,vorbis,1.0365,0.7109,2.4900
gdegraw2004-04-18.flac16__gdegraw2004-04-18d1t02.flac,coreaudio_256,1.3455,47,kbd,1.0353,0.4965,2.4091
gdegraw2004-04-18.flac16__gdegraw2004-04-18d1t02.flac,coreaudio_320,1.3690,1015,kbd,1.0385,0.4945,1.0000
hw3-2004-02-27.flac16__hw3-2004-02-27d1t01.flac,genuine,1.4198,409,kbd,1.0262,0.3266,1.0000
hw3-2004-02-27.flac16__hw3-2004-02-27d1t01.flac,coreaudio_128,1.1512,507,vorbis,1.0303,0.6311,4.3789
hw3-2004-02-27.flac16__hw3-2004-02-27d1t01.flac,coreaudio_256,1.2963,288,kbd,1.0423,0.3343,3.1181
hw3-2004-02-27.flac16__hw3-2004-02-27d1t01.flac,coreaudio_320,1.3576,40,kbd,1.0400,0.3292,1.0000
hw3-2004-02-27.flac16__hw3-2004-02-27d1t02.flac,genuine,1.2683,980,vorbis,1.0285,0.4555,0.0000
hw3-2004-02-27.flac16__hw3-2004-02-27d1t02.flac,coreaudio_128,1.7059,960,vorbis,1.0688,0.8660,2.8830
hw3-2004-02-27.flac16__hw3-2004-02-27d1t02.flac,coreaudio_256,1.2892,910,vorbis,1.0295,0.4678,1.0000
hw3-2004-02-27.flac16__hw3-2004-02-27d1t02.flac,coreaudio_320,1.3976,915,vorbis,1.0343,0.4609,0.0000
jj2008-06-14.mk4__jj2008-06-14d1t01.flac,genuine,1.3462,556,kbd,1.0359,0.2775,1.0000
jj2008-06-14.mk4__jj2008-06-14d1t01.flac,coreaudio_128,1.2979,445,kbd,1.0324,0.4967,2.3034
jj2008-06-14.mk4__jj2008-06-14d1t01.flac,coreaudio_256,1.2716,828,vorbis,1.0324,0.8253,2.0261
jj2008-06-14.mk4__jj2008-06-14d1t01.flac,coreaudio_320,1.3503,458,kbd,1.0305,0.2775,1.0000
jj2008-06-14.mk4__jj2008-06-14d1t02.flac,genuine,1.3735,357,vorbis,1.0348,0.2998,1.0000
jj2008-06-14.mk4__jj2008-06-14d1t02.flac,coreaudio_128,1.9574,960,vorbis,1.0564,0.3033,1.8658
jj2008-06-14.mk4__jj2008-06-14d1t02.flac,coreaudio_256,1.1905,88,kbd,1.0358,0.6515,1.7399
jj2008-06-14.mk4__jj2008-06-14d1t02.flac,coreaudio_320,1.2125,267,kbd,1.0301,0.2582,1.0000
johnmayer2008-08-02.DPA4023.flac16__John_Mayer_2008-08-02_t01.flac,genuine,1.3375,335,vorbis,1.0300,0.1915,1.0000
johnmayer2008-08-02.DPA4023.flac16__John_Mayer_2008-08-02_t01.flac,coreaudio_128,2.0900,960,vorbis,1.0716,0.3477,3.0865
johnmayer2008-08-02.DPA4023.flac16__John_Mayer_2008-08-02_t01.flac,coreaudio_256,1.2530,985,kbd,1.0382,0.2231,3.8780
johnmayer2008-08-02.DPA4023.flac16__John_Mayer_2008-08-02_t01.flac,coreaudio_320,1.2824,441,kbd,1.0286,0.1617,1.0000
johnmayer2008-08-02.DPA4023.flac16__John_Mayer_2008-08-02_t02.flac,genuine,1.3653,54,vorbis,1.0327,0.6107,1.0000
