population,path,probe,R_phase0,R_best,best_phase,searched_phase
wild_owner,16 Eternal Darkness.wav,lame3.90.3,-0.02,-0.10,47,
wild_owner,16 Eternal Darkness.wav,lame3.92,10.46,10.46,0,47
wild_owner,16 Eternal Darkness.wav,lame3.93.1,20.51,19.55,47,
wild_owner,16 Eternal Darkness.wav,lame3.96.1,12.80,11.60,529,
wild_owner,16 Eternal Darkness.wav,lame3.97,2.91,2.91,0,
wild_owner,16 Eternal Darkness.wav,lame3.98.4,1.95,1.95,0,
wild_owner,16 Eternal Darkness.wav,lame3.100,3.66,3.46,47,
wild_owner,17 Know the Score.wav,lame3.90.3,0.79,0.74,529,
wild_owner,17 Know the Score.wav,lame3.92,9.27,9.08,216,216
wild_owner,17 Know the Score.wav,lame3.93.1,17.96,17.46,529,
wild_owner,17 Know the Score.wav,lame3.96.1,11.13,11.08,529,
wild_owner,17 Know the Score.wav,lame3.97,2.92,2.91,529,
wild_owner,17 Know the Score.wav,lame3.98.4,2.54,2.43,47,
wild_owner,17 Know the Score.wav,lame3.100,3.59,3.59,0,
