file_id,peak_ratio,best_offset
6273a6b50a7b,1.297,137
e89f542da06e,1.2147,41
54ff4bb12f2f,1.1548,862
a588f0905d13,1.227,262
b002d8c3a7e7,1.2069,776
df9d57823eda,1.2353,805
4058df47c81a,1.1585,252
f07f9b7b9204,1.1882,620
5f159b43ded0,1.3086,898
5c420367fae0,1.2118,404
59e6192aff1b,1.1786,570
2ec31189b102,1.2164,602
04251d5b5f63,1.1264,294
555d72b5fd4d,1.2716,35
3f225da4a070,1.2455,118
c2e9ba049ca8,1.2663,501
3c4f94d423a4,1.2927,757
91af8649ecb1,1.2771,119
7849c694d006,1.3818,494
1e5efe88a0af,1.2771,384
ec03c2957511,1.1687,422
cc4b00c030e5,1.2022,553
ef9453fc2f80,1.2073,343
f9626a7e9cd3,1.2047,179
c0e9a02fcfbc,1.1977,692
88af7a1d4df0,1.283,305
59704190cfea,1.1765,421
00a213a68768,1.2216,580
ded1995dca7d,1.2706,918
997ef7e38d6d,1.2927,973
5dff7bb0f315,1.2471,1010
511a7a3948f9,1.2638,915
796ea337112e,1.2326,582
4cc133ab7903,1.1617,392
5e9fd2b8692e,1.3333,547
fd816c97140e,1.2048,460
3a28a2f7685b,1.362,320
c33c1c4ffc5e,1.2593,8
40cc9a5dd803,1.2364,710
19557068b8c2,1.1497,925
2ea3cb9b80c2,1.2674,309
b19cf3579e1d,1.4811,816
b730f6382407,1.1951,842
3d6b22a87e03,1.2515,1023
10bc0c840b05,1.2203,780
32f1fd88df76,1.2099,103
66baa3cb319c,1.1976,692
20328f3a3587,1.2486,259
3196c49321f6,1.1744,873
b1bbb997b267,1.2143,624
7cf2d60a2cb8,1.2381,888
28a095057b8d,1.3011,835
8c8ba0a64875,1.2143,44
a47b5e90d365,1.2638,759
b510bacf2a60,1.2326,362
a3a458bba99c,1.1786,722
dee560da9d93,1.3068,117
d619bf9aa3ae,1.1902,374
84e7e775fb2c,1.227,810
0ca6c26d1faa,1.2727,565
3d7211ed4aad,1.2262,210
363da3d3b32b,1.3413,520
e4418be79f75,1.2439,852
d3101f71be75,1.2326,251
7868d9873462,1.275,931
8165741200ec,1.2625,511
c50bfa3d1dbb,1.2289,169
e977537ba54d,1.3333,582
71f71b71143e,1.2588,473
b8e042814ee4,1.2771,1004
d119490157e2,1.375,540
cae6e5236200,1.2651,559
ec27994e3efc,1.2791,670
9cb1b56911f1,1.2927,725
7125507d30ca,1.2706,740
72e2d467e90d,1.341,604
5fe9ccd920a0,1.193,994
1dfdda9e1073,1.2326,736
3784f78e1955,1.1566,357
aa3708238bc7,1.2875,740
21f593a42543,1.2346,400
dee35bb72c13,1.2143,169
b0bbe9a51b34,1.1548,185
f8a19275bf9a,1.1954,761
1e7a39a25a2a,1.2118,587
7a6a9a160683,1.2515,324
ac6a6ca88685,1.2469,102
1d22633c321a,1.4444,657
bd351702e8d4,1.2364,645
b11af31d8aea,1.2118,655
d5765057eb74,1.2584,701
ec025e5cd4dc,1.2262,583
791245a83468,1.2298,751
dedbad59a4de,1.193,446
0c5879f684a9,1.1786,397
fa024ccf118d,1.3086,735
58a75270b6ac,1.2637,571
8100157feddf,1.1976,693
a1d6a4997a3a,1.1902,121
8e6507161af7,1.3294,875
5b36259f00ef,1.2683,555
406a7003122e,1.186,348
0fc34ab80f1a,1.3413,546
7aa52b0db222,1.3218,653
29fb54107e6e,1.1879,874
6ebf12bd0cf4,1.3735,322
859278972f4f,1.2593,737
ee16c6c9308f,1.2883,377
0e1089ca6f6d,1.2247,592
3d6edeede37b,1.1932,560
e94354f13cd3,1.1548,817
a363ba014cbd,1.2927,854
99114ec1b7e2,1.2956,221
77cb2b1698aa,1.1636,698
e7bfdfeacc26,1.1412,472
01fc8697e13d,1.2024,755
129091a35870,1.2892,209
ec69923a0c57,1.1497,235
35a4e9e8a8ff,1.1728,599
ae306fac0492,1.2118,123
2e186ba71207,1.2169,1011
105e6efaebc8,1.1463,547
9be0735e2600,1.3801,768
025ecc891ee9,1.3018,556
cda82c454d84,1.2317,460
d84e3b56a260,1.2485,396
bcd4d8ca099a,1.2143,544
787fb6f137ca,1.2381,766
82051aea9c68,1.2262,136
aeb20897b841,1.2195,166
7628c2c1d72f,1.2625,503
d62f06411ed4,1.1868,790
b4c2e3adc000,1.2727,568
75c35ea7c554,1.2805,611
46d5ef09c6ea,1.2242,43
fcdf77525144,1.2771,178
6253c29458da,1.2927,498
cacceec5ba03,1.2203,647
ccf83d47e736,1.2048,727
2507f66d65ff,1.2575,273
b02f2d00a575,1.2619,657
5ab7c17ce7ba,1.2189,838
5424c8227648,1.2651,614
1299f8c199c7,1.2135,752
b0ad80b4353f,1.2994,953
