population,track,sample_rate,cutoff,energy_ratio,cutoff_std,residual_floor_db,container_kbps
genuine_audit,053-03-Jupiter-Okwess-Ofakombolo.flac,44100,20500.0,6.520e-05,0.0,-32.7,974
genuine_audit,054-10-George-Bruns-Two-dogs-and-a-cycle.flac,44100,22050.0,1.096e-06,0.0,nan,731
genuine_audit,055-01-Godspeed-You-Black-Emperor-Undoing-a-luciferi.flac,44100,22050.0,4.923e-07,0.0,nan,872
genuine_audit,056-14-Hlamalani.flac,44100,22050.0,1.208e-04,0.0,nan,937
genuine_audit,057-02-Nass-El-Ghiwan-El-Mekkaoui-le-mecquois.flac,44100,20750.0,4.526e-07,0.0,nan,658
genuine_audit,058-01-Piny-Runa-Woko.flac,44100,20750.0,2.295e-06,0.0,nan,764
genuine_audit,059-01-Genesis-Gospel-Singers-Momma-mo-akoma-ntutu.flac,44100,22050.0,2.000e-05,0.0,nan,892
genuine_audit,060-13-Naomi-The-Boys-Bad-loser.flac,44100,22050.0,4.874e-05,0.0,nan,1031
genuine_audit,061-07-Black-Truth-Rhythm-Band-Imo.flac,44100,17750.0,1.396e-08,0.0,nan,762
genuine_audit,062-03-Alpha-Blondy-Jah-glory.flac,44100,20500.0,1.590e-05,0.0,-49.5,768
genuine_audit,063-09-Rodolphe-Burger-Billy-the-kid.flac,44100,22050.0,9.375e-07,0.0,nan,692
genuine_audit,064-01-Blank-Jones-Feat-Mike-Francis-Someone-like-yo.flac,44100,21250.0,1.478e-05,0.0,nan,869
genuine_audit,065-05-Quizas-Quizas.flac,44100,22050.0,1.267e-05,0.0,nan,842
genuine_audit,066-04-Etoile-de-Dakar-My-wa-wa.flac,44100,22050.0,3.614e-06,0.0,nan,868
genuine_audit,067-03-The-Streets-Let-s-push-things-forward.flac,44100,22050.0,4.424e-06,0.0,nan,963
genuine_audit,068-08-Eddie-Palmieri-Cal-Tjader-Bamboleate.flac,44100,22050.0,2.479e-07,0.0,nan,926
genuine_audit,069-02-Eden-Ahbez-The-wanderer.flac,44100,22050.0,2.303e-07,0.0,nan,696
genuine_audit,070-02-Guts-Good-morning.flac,44100,22050.0,1.383e-05,0.0,nan,869
genuine_audit,071-01-Jaipur-Kawa-Brass-Band-Piya-tu-ab-aaja.flac,44100,16250.0,2.827e-07,0.0,nan,864
genuine_audit,072-05-Simo-Moumen-Samsara.flac,44100,19500.0,2.867e-05,0.0,-54.2,1087
genuine_audit,073-10-Vanilla-Fudge-Eleanor-rigby.flac,44100,20750.0,4.013e-06,0.0,nan,466
genuine_audit,074-09-Koki-Nakano-Lift.flac,44100,22050.0,1.038e-07,0.0,nan,673
genuine_audit,075-03-Jordi-Savall-El-rey-de-francia-esmirna.flac,44100,22050.0,4.248e-07,0.0,nan,650
genuine_audit,076-20-Fran-ois-Couperin-O-salutaris.flac,44100,22050.0,2.589e-08,0.0,nan,468
genuine_audit,077-01-Jaga-Jazzist-All-i-know-is-tonight.flac,44100,22050.0,4.033e-05,0.0,nan,950
genuine_audit,078-04-Kat-Onoma-La-chambre.flac,44100,21500.0,1.866e-06,0.0,nan,754
genuine_audit,079-04-Gwen-McCrae-Let-s-straighten-it-out.flac,44100,22050.0,2.880e-05,0.0,nan,886
genuine_wild,AstralProject2000-06-10.flac16__astralproject2000-06-10t01.flac,44100,22050.0,2.672e-05,0.0,nan,627
genuine_wild,AstralProject2000-06-10.flac16__astralproject2000-06-10t02.flac,44100,22050.0,4.082e-04,0.0,nan,679
genuine_wild,AstralProject2000-06-10.flac16__astralproject2000-06-10t03.flac,44100,22050.0,7.336e-07,0.0,nan,606
genuine_wild,AstralProject2000-06-10.flac16__astralproject2000-06-10t04.flac,44100,22050.0,8.880e-05,0.0,nan,661
genuine_wild,BAC2026-08-12.RODENT5-ZOOMH6-FLAC8__101. Brick House.flac,96000,48000.0,2.301e-05,0.0,nan,1378
