arm,file,max_run,mean_run,max_run_rel,stereo_ratio,mono_gated
mp3_320,012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,2.5000,13.8730,24.0000,0.6912,False
mp3_320,013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,0.0000,14.4500,1.0000,0.0000,False
mp3_320,014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,nan,nan,nan,0.0000,True
mp3_320,015-08-Jos-Gonz-lez-Vissel.flac,4.0000,4.1429,2.0000,0.1369,False
mp3_320,016-03-Memory-Tapes-Green-knight.flac,7.5000,10.6750,1.0000,1.0856,False
mp3_320,017-13-Cafe-Del-Mar-Submariner.flac,1.0000,13.2083,27.0000,0.4789,False
mp3_320,018-04-Bag-o-wire-Resovoir.flac,nan,nan,nan,0.0000,True
mp3_320,019-04-Kohi-Jadu.flac,1.0000,15.5000,3.0000,0.6355,False
mp3_320,020-06-Bola-Tigantabame.flac,17.0000,11.2639,37.0000,0.0547,False
mp3_320,021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,1.0000,15.0000,17.0000,0.6828,False
mp3_320,022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,4.0000,3.3550,4.0000,0.1424,False
mp3_320,023-01-Yusef-Lateef-Buddy-and-lou.flac,1.0000,6.9444,6.0000,0.9385,False
mp3_320,024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,18.0000,1.7222,1.0000,3.1756,False
mp3_320,025-07-Bolalar-Lola.flac,30.0000,14.0000,46.0000,0.2533,False
mp3_320,026-06-Oumou-Dioubat-Siyala.flac,23.0000,11.7333,9.0000,0.3038,False
mp3_320,027-01-Dimlite-Kitty-Cradle-Fog.flac,1.0000,11.8167,1.0000,0.2987,False
mp3_320,028-04-Lisu-Yue-phue-alcool-de-ma-s.flac,1.0000,1.8571,0.0000,0.0181,False
mp3_320,029-05-Kuusow-Kurtunwaarey-Amin-Xaaji-Cusmaan-Cabdul.flac,32.5000,13.1000,4.0000,0.6725,False
mp3_320,030-06-S-bastien-Tellier-Benny.flac,4.0000,10.3542,36.0000,0.4612,False
