orig_idx,kind,is_transcode,src_rolloff,model_fp,is_stereo,side_mid_ratio,lr_corr,ro_mid,ro_side,side_to_mid_rolloff,holes_inband,flatness_inband,side_flatness_inband,terrace_peakfrac,preecho_pct,aliasing_corr,mp3_pattern
7,authentic,0,3452.1,1,1,0.005653,0.9903,2691.7,8010.4,2.976,0.33333,0.014226,0.020062,0.20325,31.58,0.1772,0
7,mp3_128,1,3452.1,1,1,0.005687,0.9903,2605.5,4306.6,1.6529,0.31092,0.015443,0.022557,0.21008,30.0,0.2455,0
7,mp3_320,1,3452.1,1,1,0.005655,0.9903,2648.6,7084.4,2.6748,0.32231,0.014871,0.020746,0.20661,31.58,0.1783,0
7,mp3_v0,1,3452.1,1,1,0.005657,0.9903,2562.5,6395.4,2.4958,0.29915,0.016114,0.022421,0.21368,36.84,0.2397,0
12,authentic,0,3872.5,1,1,0.278232,0.5717,6998.3,6201.6,0.8862,0.66563,0.003091,0.003372,0.17957,33.33,0.1147,0
12,mp3_128,1,3872.5,1,1,0.278188,0.5717,3402.2,3445.3,1.0127,0.32051,0.027228,0.03104,0.10256,0.0,0.2555,0
12,mp3_320,1,3872.5,1,1,0.278262,0.5717,4457.4,4586.6,1.029,0.47317,0.01206,0.013914,0.10732,33.33,0.1149,0
12,mp3_v0,1,3872.5,1,1,0.278439,0.5715,5318.7,6244.6,1.1741,0.55918,0.006803,0.007988,0.11429,0.0,0.1145,0
13,authentic,0,4999.9,1,1,0.013213,0.9744,7364.4,8850.1,1.2018,0.35294,0.022619,0.070843,0.14118,85.71,0.107,0
13,mp3_128,1,4999.9,1,1,0.013314,0.9742,7407.4,7278.2,0.9826,0.35673,0.023018,0.064313,0.13158,84.44,0.1176,0
13,mp3_320,1,4999.9,1,1,0.013217,0.9744,7364.4,8785.5,1.193,0.35294,0.022617,0.071418,0.14118,85.71,0.1066,0
13,mp3_v0,1,4999.9,1,1,0.013224,0.9743,7364.4,8699.4,1.1813,0.35294,0.022683,0.071797,0.13824,85.71,0.1074,0
4,authentic,0,6512.3,1,1,0.010051,0.9811,8807.1,10314.4,1.1711,0.18428,0.06014,0.115744,0.16953,100.0,0.0988,0
4,mp3_128,1,6512.3,1,1,0.010277,0.9806,8548.7,5857.0,0.6851,0.1443,0.065257,0.071904,0.17468,83.33,0.1258,0
4,mp3_320,1,6512.3,1,1,0.010062,0.981,8720.9,8591.7,0.9852,0.17618,0.061322,0.121393,0.17122,100.0,0.0988,0
4,mp3_v0,1,6512.3,1,1,0.010123,0.9809,8764.0,7278.2,0.8305,0.18025,0.060804,0.102347,0.17037,100.0,0.0975,0
5,authentic,0,5345.2,1,1,0.168242,0.7248,5404.8,5081.8,0.9402,0.1245,0.060187,0.027083,0.1004,100.0,0.1663,0
5,mp3_128,1,5345.2,1,1,0.169066,0.7235,5189.5,3380.7,0.6515,0.11297,0.065767,0.031114,0.10042,100.0,0.2639,0
5,mp3_320,1,5345.2,1,1,0.168278,0.7247,5297.2,4522.0,0.8537,0.12705,0.061173,0.029718,0.09426,100.0,0.1678,0
5,mp3_v0,1,5345.2,1,1,0.168448,0.7244,5124.9,4220.5,0.8235,0.11017,0.066858,0.035881,0.09746,100.0,0.2464,0
16,authentic,0,5939.1,1,1,0.444619,0.3878,5081.8,6352.3,1.25,0.04701,0.088714,0.186309,0.17521,100.0,0.1325,0
16,mp3_128,1,5939.1,1,1,0.444805,0.3875,4801.9,5878.6,1.2242,0.00452,0.109196,0.229181,0.20362,100.0,0.1873,0
16,mp3_320,1,5939.1,1,1,0.444638,0.3877,4995.7,6201.6,1.2414,0.03043,0.093781,0.197061,0.17826,100.0,0.1326,0
16,mp3_v0,1,5939.1,1,1,0.444492,0.3879,4888.0,5943.2,1.2159,0.02222,0.099722,0.210118,0.18222,100.0,0.173,0
17,authentic,0,0.0,1,0,0.001198,0.9976,20219.7,20865.7,1.0319,0.0,0.595507,0.493155,0.4397,0.0,0.0,1
17,mp3_128,1,0.0,1,0,0.001305,0.9974,15805.4,20155.1,1.2752,0.0,0.56724,0.511318,0.43852,0.0,0.0,0
17,mp3_320,1,0.0,1,0,0.001355,0.9973,18841.6,19875.1,1.0549,0.0,0.5853,0.534625,0.43757,0.0,0.0,1
17,mp3_v0,1,0.0,1,0,0.001304,0.9974,20176.6,20542.7,1.0181,0.0,0.596716,0.510362,0.46417,0.0,0.0,0
20,authentic,0,5392.6,1,0,0.0,1.0,5146.4,0.0,0.0,0.0,0.281992,0.999999,0.27426,80.0,0.0561,0
20,mp3_128,1,5392.6,1,0,0.0,1.0,5103.4,0.0,0.0,0.0,0.285428,0.999999,0.26809,88.89,0.3929,0
20,mp3_320,1,5392.6,1,0,0.0,1.0,5124.9,0.0,0.0,0.0,0.283667,0.999999,0.27119,80.0,0.0578,0
20,mp3_v0,1,5392.6,1,0,0.0,1.0,5124.9,0.0,0.0,0.0,0.283696,0.999999,0.27119,80.0,0.0545,0
21,authentic,0,4272.1,1,1,0.237228,0.6182,4737.3,5706.3,1.2045,0.52752,0.010337,0.022135,0.11927,100.0,0.0861,0
