source,arm,profile,mdct,stereo_run,cutoff
localh1999-06-24-fm103.flac16__localh1999-06-24d1t02.flac,genuine,-,1.2327044025157234,1.0,22050.0
localh1999-06-24-fm103.flac16__localh1999-06-24d1t02.flac,musepack,radio,1.2839506172839505,10.0,16000.0
localh1999-06-24-fm103.flac16__localh1999-06-24d1t02.flac,musepack,standard,1.446540880503145,10.206349206349206,17500.0
localh1999-06-24-fm103.flac16__localh1999-06-24d1t02.flac,musepack,insane,1.2289156626506026,9.75,18750.0
moe2004-10-29.at4051a.flac__moe2004-10-29set1t01.flac,genuine,-,1.2592592592592593,0.0,22050.0
moe2004-10-29.at4051a.flac__moe2004-10-29set1t01.flac,musepack,radio,1.2750000000000004,1.0625,16250.0
moe2004-10-29.at4051a.flac__moe2004-10-29set1t01.flac,musepack,standard,1.2530120481927716,1.0588235294117647,18000.0
moe2004-10-29.at4051a.flac__moe2004-10-29set1t01.flac,musepack,insane,1.25,1.0,19250.0
moe2004-10-29.at4051a.flac__moe2004-10-29set1t02.flac,genuine,-,1.3614457831325302,1.0,22050.0
moe2004-10-29.at4051a.flac__moe2004-10-29set1t02.flac,musepack,radio,1.2934131736526946,1.9518002322880372,16000.0
moe2004-10-29.at4051a.flac__moe2004-10-29set1t02.flac,musepack,standard,1.261904761904762,1.9420289855072463,18000.0
moe2004-10-29.at4051a.flac__moe2004-10-29set1t02.flac,musepack,insane,1.2380952380952384,1.8844444444444444,18750.0
mss2003-12-31.flac16f__mss2003-12-31d1t01.flac,genuine,-,1.2469135802469138,1.5,22050.0
mss2003-12-31.flac16f__mss2003-12-31d1t01.flac,musepack,radio,1.3780487804878052,20.272058823529413,16000.0
mss2003-12-31.flac16f__mss2003-12-31d1t01.flac,musepack,standard,1.2515337423312882,18.146428571428572,18000.0
mss2003-12-31.flac16f__mss2003-12-31d1t01.flac,musepack,insane,1.3048780487804883,13.572398190045249,19500.0
mss2003-12-31.flac16f__mss2003-12-31d1t02.flac,genuine,-,1.3664596273291927,1.1666666666666667,21500.0
mss2003-12-31.flac16f__mss2003-12-31d1t02.flac,musepack,radio,1.2875,16.86190476190476,16000.0
mss2003-12-31.flac16f__mss2003-12-31d1t02.flac,musepack,standard,1.216867469879518,16.071428571428573,17500.0
mss2003-12-31.flac16f__mss2003-12-31d1t02.flac,musepack,insane,1.333333333333334,14.954545454545453,18750.0
oar2006-01-14.mix.flac16__oar2006-01-14d1t01.mix.flac,genuine,-,1.3170731707317076,1.0,22050.0
oar2006-01-14.mix.flac16__oar2006-01-14d1t01.mix.flac,musepack,radio,1.317391304347826,9.601973684210527,16000.0
oar2006-01-14.mix.flac16__oar2006-01-14d1t01.mix.flac,musepack,standard,1.353658536585366,8.756734006734007,16750.0
oar2006-01-14.mix.flac16__oar2006-01-14d1t01.mix.flac,musepack,insane,1.3703703703703705,8.0,18750.0
oar2006-01-14.mix.flac16__oar2006-01-14d1t02.mix.flac,genuine,-,1.282352941176471,0.0,22050.0
oar2006-01-14.mix.flac16__oar2006-01-14d1t02.mix.flac,musepack,radio,1.280487804878049,11.508620689655173,16000.0
oar2006-01-14.mix.flac16__oar2006-01-14d1t02.mix.flac,musepack,standard,1.2891566265060246,10.780952380952382,18750.0
oar2006-01-14.mix.flac16__oar2006-01-14d1t02.mix.flac,musepack,insane,1.3012048192771086,10.602564102564102,21000.0
oar2006-07-09__oar2006-07-09d1t01.flac,genuine,-,1.4146341463414636,1.0,18000.0
oar2006-07-09__oar2006-07-09d1t01.flac,musepack,radio,1.202380952380953,1.0,15500.0
oar2006-07-09__oar2006-07-09d1t01.flac,musepack,standard,1.2682926829268293,1.0,16500.0
oar2006-07-09__oar2006-07-09d1t01.flac,musepack,insane,1.234567901234568,1.0,17250.0
oar2006-07-09__oar2006-07-09d1t02.flac,genuine,-,1.2926829268292686,1.2083333333333333,21750.0
oar2006-07-09__oar2006-07-09d1t02.flac,musepack,radio,1.2891566265060244,10.036458333333332,16000.0
oar2006-07-09__oar2006-07-09d1t02.flac,musepack,standard,1.2750000000000001,10.045548654244307,17250.0
oar2006-07-09__oar2006-07-09d1t02.flac,musepack,insane,1.4268292682926835,9.164502164502164,18250.0
pattersonh2006-01-07.184.flac16__pattersonh2006-01-07d1t01.flac,genuine,-,1.3125000000000004,1.0,22050.0
pattersonh2006-01-07.184.flac16__pattersonh2006-01-07d1t01.flac,musepack,radio,1.3086419753086422,1.135135135135135,22050.0
pattersonh2006-01-07.184.flac16__pattersonh2006-01-07d1t01.flac,musepack,standard,1.2163742690058483,1.1231060606060606,22050.0
pattersonh2006-01-07.184.flac16__pattersonh2006-01-07d1t01.flac,musepack,insane,1.3827160493827164,1.1333333333333333,22050.0
pattersonh2006-01-07.184.flac16__pattersonh2006-01-07d1t02.flac,genuine,-,1.231707317073171,1.0,22050.0
pattersonh2006-01-07.184.flac16__pattersonh2006-01-07d1t02.flac,musepack,radio,1.271604938271605,2.176952892069171,16000.0
pattersonh2006-01-07.184.flac16__pattersonh2006-01-07d1t02.flac,musepack,standard,1.2926829268292679,2.149386845039019,17500.0
pattersonh2006-01-07.184.flac16__pattersonh2006-01-07d1t02.flac,musepack,insane,1.3411764705882359,2.159090909090909,18750.0
tlg2006-10-21.mk4v.flac16__tlg2006-10-21d1t01.flac,genuine,-,1.2962962962962965,1.0,22050.0
tlg2006-10-21.mk4v.flac16__tlg2006-10-21d1t01.flac,musepack,radio,1.2727272727272727,1.9253731343283582,16000.0
tlg2006-10-21.mk4v.flac16__tlg2006-10-21d1t01.flac,musepack,standard,1.3913043478260874,1.8968962585034013,17250.0
tlg2006-10-21.mk4v.flac16__tlg2006-10-21d1t01.flac,musepack,insane,1.316770186335404,1.8189269746646795,18750.0
tlg2006-10-21.mk4v.flac16__tlg2006-10-21d1t03.flac,genuine,-,1.280487804878049,1.0,22050.0
tlg2006-10-21.mk4v.flac16__tlg2006-10-21d1t03.flac,musepack,radio,1.2795031055900625,3.0388679245283017,16000.0
tlg2006-10-21.mk4v.flac16__tlg2006-10-21d1t03.flac,musepack,standard,1.234567901234568,3.0,18000.0
tlg2006-10-21.mk4v.flac16__tlg2006-10-21d1t03.flac,musepack,insane,1.2682926829268295,3.0438095238095237,19000.0
