idx,kind,codec,src_bucket,verdict11,verdict12
22,transcode,mp3_128,<4k,FAKE_CERTAIN,FAKE_CERTAIN
22,transcode,mp3_320,<4k,AUTHENTIC,AUTHENTIC
22,transcode,mp3_v0,<4k,AUTHENTIC,AUTHENTIC
23,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
23,transcode,mp3_128,<4k,WARNING,WARNING
23,transcode,mp3_320,<4k,FAKE_CERTAIN,FAKE_CERTAIN
23,transcode,mp3_v0,<4k,AUTHENTIC,AUTHENTIC
14,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
14,transcode,mp3_128,<4k,WARNING,WARNING
14,transcode,mp3_320,<4k,FAKE_CERTAIN,FAKE_CERTAIN
14,transcode,mp3_v0,<4k,AUTHENTIC,AUTHENTIC
15,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
15,transcode,mp3_128,<4k,AUTHENTIC,AUTHENTIC
15,transcode,mp3_320,<4k,AUTHENTIC,AUTHENTIC
15,transcode,mp3_v0,<4k,AUTHENTIC,AUTHENTIC
24,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
24,transcode,mp3_128,4-7k,WARNING,WARNING
24,transcode,mp3_320,4-7k,AUTHENTIC,AUTHENTIC
24,transcode,mp3_v0,4-7k,AUTHENTIC,AUTHENTIC
25,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
25,transcode,mp3_128,4-7k,WARNING,SUSPICIOUS
25,transcode,mp3_320,4-7k,FAKE_CERTAIN,FAKE_CERTAIN
25,transcode,mp3_v0,4-7k,FAKE_CERTAIN,FAKE_CERTAIN
26,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
26,transcode,mp3_128,4-7k,FAKE_CERTAIN,FAKE_CERTAIN
26,transcode,mp3_320,4-7k,AUTHENTIC,AUTHENTIC
26,transcode,mp3_v0,4-7k,AUTHENTIC,AUTHENTIC
27,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
27,transcode,mp3_128,4-7k,FAKE_CERTAIN,FAKE_CERTAIN
27,transcode,mp3_320,4-7k,AUTHENTIC,AUTHENTIC
27,transcode,mp3_v0,4-7k,AUTHENTIC,AUTHENTIC
27,transcode,aac_256,4-7k,AUTHENTIC,AUTHENTIC
28,authentic,authentic,4-7k,WARNING,WARNING
28,transcode,mp3_128,4-7k,WARNING,WARNING
28,transcode,mp3_320,4-7k,WARNING,WARNING
28,transcode,mp3_v0,4-7k,WARNING,WARNING
29,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
29,transcode,mp3_128,4-7k,WARNING,WARNING
29,transcode,mp3_320,4-7k,AUTHENTIC,AUTHENTIC
29,transcode,mp3_v0,4-7k,AUTHENTIC,AUTHENTIC
36,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
36,transcode,mp3_128,4-7k,FAKE_CERTAIN,FAKE_CERTAIN
36,transcode,mp3_320,4-7k,AUTHENTIC,AUTHENTIC
36,transcode,mp3_v0,4-7k,AUTHENTIC,AUTHENTIC
37,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
37,transcode,mp3_128,4-7k,FAKE_CERTAIN,FAKE_CERTAIN
37,transcode,mp3_320,4-7k,AUTHENTIC,AUTHENTIC
37,transcode,mp3_v0,4-7k,AUTHENTIC,AUTHENTIC
34,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
34,transcode,mp3_128,4-7k,WARNING,SUSPICIOUS
34,transcode,mp3_320,4-7k,AUTHENTIC,AUTHENTIC
34,transcode,mp3_v0,4-7k,AUTHENTIC,AUTHENTIC
34,transcode,aac_256,4-7k,AUTHENTIC,AUTHENTIC
35,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
35,transcode,mp3_128,4-7k,WARNING,WARNING
35,transcode,mp3_320,4-7k,FAKE_CERTAIN,FAKE_CERTAIN
35,transcode,mp3_v0,4-7k,AUTHENTIC,AUTHENTIC
30,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
30,transcode,mp3_128,4-7k,WARNING,WARNING
30,transcode,mp3_320,4-7k,AUTHENTIC,AUTHENTIC
30,transcode,mp3_v0,4-7k,AUTHENTIC,AUTHENTIC
31,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
31,transcode,mp3_128,4-7k,WARNING,SUSPICIOUS
31,transcode,mp3_320,4-7k,AUTHENTIC,AUTHENTIC
31,transcode,mp3_v0,4-7k,AUTHENTIC,AUTHENTIC
32,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
32,transcode,mp3_128,4-7k,FAKE_CERTAIN,FAKE_CERTAIN
32,transcode,mp3_320,4-7k,AUTHENTIC,AUTHENTIC
32,transcode,mp3_v0,4-7k,AUTHENTIC,AUTHENTIC
33,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
33,transcode,mp3_128,4-7k,WARNING,WARNING
33,transcode,mp3_320,4-7k,AUTHENTIC,AUTHENTIC
33,transcode,mp3_v0,4-7k,AUTHENTIC,AUTHENTIC
38,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
38,transcode,mp3_128,4-7k,FAKE_CERTAIN,FAKE_CERTAIN
38,transcode,mp3_320,4-7k,AUTHENTIC,AUTHENTIC
38,transcode,mp3_v0,4-7k,AUTHENTIC,AUTHENTIC
39,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
39,transcode,mp3_128,4-7k,FAKE_CERTAIN,FAKE_CERTAIN
39,transcode,mp3_320,4-7k,AUTHENTIC,AUTHENTIC
39,transcode,mp3_v0,4-7k,AUTHENTIC,AUTHENTIC
40,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
40,transcode,mp3_128,4-7k,WARNING,WARNING
40,transcode,mp3_320,4-7k,AUTHENTIC,AUTHENTIC
40,transcode,mp3_v0,4-7k,AUTHENTIC,AUTHENTIC
41,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
41,transcode,mp3_128,4-7k,WARNING,WARNING
41,transcode,mp3_320,4-7k,FAKE_CERTAIN,FAKE_CERTAIN
41,transcode,mp3_v0,4-7k,AUTHENTIC,AUTHENTIC
44,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
44,transcode,mp3_128,4-7k,WARNING,WARNING
44,transcode,mp3_320,4-7k,AUTHENTIC,AUTHENTIC
44,transcode,mp3_v0,4-7k,AUTHENTIC,AUTHENTIC
45,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
45,transcode,mp3_128,4-7k,AUTHENTIC,WARNING
45,transcode,mp3_320,4-7k,AUTHENTIC,AUTHENTIC
45,transcode,mp3_v0,4-7k,AUTHENTIC,AUTHENTIC
46,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
46,transcode,mp3_128,4-7k,FAKE_CERTAIN,FAKE_CERTAIN
46,transcode,mp3_320,4-7k,AUTHENTIC,AUTHENTIC
46,transcode,mp3_v0,4-7k,AUTHENTIC,AUTHENTIC
47,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
47,transcode,mp3_128,4-7k,FAKE_CERTAIN,FAKE_CERTAIN
47,transcode,mp3_320,4-7k,AUTHENTIC,AUTHENTIC
47,transcode,mp3_v0,4-7k,AUTHENTIC,AUTHENTIC
50,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
50,transcode,mp3_128,7-10k,FAKE_CERTAIN,FAKE_CERTAIN
50,transcode,mp3_320,7-10k,FAKE_CERTAIN,FAKE_CERTAIN
50,transcode,mp3_v0,7-10k,AUTHENTIC,AUTHENTIC
51,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
51,transcode,mp3_128,7-10k,WARNING,WARNING
51,transcode,mp3_320,7-10k,AUTHENTIC,AUTHENTIC
51,transcode,mp3_v0,7-10k,AUTHENTIC,AUTHENTIC
