slug,label,codec,window,peak_ratio,best_offset
067-03-The-Streets-Let-s-push-things-forward,0,authentic,kbd,1.2387,351
068-08-Eddie-Palmieri-Cal-Tjader-Bamboleate,0,authentic,kbd,1.2795,436
069-02-Eden-Ahbez-The-wanderer,0,authentic,kbd,1.3415,975
070-02-Guts-Good-morning,0,authentic,kbd,1.3711,827
071-01-Jaipur-Kawa-Brass-Band-Piya-tu-ab-aaja,0,authentic,kbd,1.1897,682
072-05-Simo-Moumen-Samsara,0,authentic,kbd,1.2857,158
073-10-Vanilla-Fudge-Eleanor-rigby,0,authentic,kbd,1.362,64
074-09-Koki-Nakano-Lift,0,authentic,kbd,1.3373,961
075-03-Jordi-Savall-El-rey-de-francia-esmirna,0,authentic,kbd,1.2308,808
076-20-Fran-ois-Couperin-O-salutaris,0,authentic,kbd,1.1687,474
077-01-Jaga-Jazzist-All-i-know-is-tonight,0,authentic,kbd,1.2761,263
078-04-Kat-Onoma-La-chambre,0,authentic,kbd,1.2651,840
079-04-Gwen-McCrae-Let-s-straighten-it-out,0,authentic,kbd,1.3659,662
000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout,1,aac_ff128,kbd,36.8462,1020
001-11-Gilbert-B-caud-Le-bain-de-minuit,1,aac_ff128,kbd,10.973,1020
002-03-Hraach-Let-it-go,1,aac_ff128,kbd,9.6833,1020
003-01-Thor-Dari-lullaby,1,aac_ff128,kbd,29.451,1020
004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye,1,aac_ff128,kbd,8.8155,1020
005-17-Los-Seven-Del-Swing-Celoso,1,aac_ff128,kbd,31.7423,1020
006-09-Mahmoud-Ahmed-Tezeta,1,aac_ff128,kbd,34.2874,1020
007-07-Wax-Tailor-Positively-inclined-featuring-main,1,aac_ff128,kbd,23.7129,1020
008-06-The-Mebusas-Mr-bull-dog-original-45-version,1,aac_ff128,kbd,26.0,1020
009-03-Ilya-Beshevli-To-solitude,1,aac_ff128,kbd,3.1028,1020
010-06-Jon-Hassell-These-times,1,aac_ff128,kbd,9.9245,1020
011-07-Ensemble-National-des-Percussions-de-Guin-e-K,1,aac_ff128,kbd,5.9821,1020
012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro,1,aac_ff128,kbd,6.1047,1020
013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary,1,aac_ff128,kbd,32.4,1020
014-26-Dock-Walsh-Bathe-in-that-beautiful-pool,1,aac_ff128,kbd,18.1951,1020
015-08-Jos-Gonz-lez-Vissel,1,aac_ff128,kbd,5.2252,1020
016-03-Memory-Tapes-Green-knight,1,aac_ff128,kbd,34.4706,1020
017-13-Cafe-Del-Mar-Submariner,1,aac_ff128,kbd,33.4922,1020
018-04-Bag-o-wire-Resovoir,1,aac_ff128,kbd,19.3605,1020
019-04-Kohi-Jadu,1,aac_ff128,kbd,16.274,1020
020-06-Bola-Tigantabame,1,aac_ff128,kbd,22.7254,1020
021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc,1,aac_ff128,kbd,29.8624,508
022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas,1,aac_ff128,kbd,8.4231,1020
023-01-Yusef-Lateef-Buddy-and-lou,1,aac_ff128,kbd,19.3305,1020
024-15-Jordi-Savall-Concert-li-la-rougeville-gigue,1,aac_ff128,kbd,2.6425,1020
025-07-Bolalar-Lola,1,aac_ff128,kbd,19.7778,1020
026-06-Oumou-Dioubat-Siyala,1,aac_ff128,kbd,26.9292,1020
