path_hash,source,ratio_max,cutoff,admitted
071758de1bcb471a,library,1.2364,17250.0,0
072c40f3f943f0d0,library,1.3171,22050.0,1
07598f7715305cd5,library,1.2386,22050.0,1
08368751dc1c9f58,library,1.2692,21500.0,1
08a1257ba4bc6a6c,library,1.2593,21000.0,1
08b661f8910aec56,library,1.3544,22050.0,1
08cb6a8c8dae175e,library,1.2216,22050.0,1
08de872ff80b16c4,library,1.2611,22050.0,1
095b88bab1405be4,library,1.2439,22050.0,1
099456c8f08ae1e2,library,1.2025,22050.0,1
09a37475d75ca01e,library,1.2278,22050.0,1
09e710870078e265,library,1.2414,21500.0,1
09eeca8b478e21e5,library,1.2771,21250.0,1
0a4e0d4fc15f1117,library,1.3133,22050.0,1
0ac4ee9c4442e394,library,1.3416,21750.0,1
0bb17e406f01243b,library,1.2000,20750.0,1
0d2f320402862b2e,library,1.2530,22050.0,1
0e448e74f90d5816,library,1.2044,22050.0,1
0e7bda8e2ba4be2c,library,1.1902,22050.0,1
0ef232b4fe7e4130,library,1.3457,22050.0,1
0fa4383300cedb50,library,1.3913,22050.0,1
0fcedcfff0a50da5,library,1.2695,22050.0,1
1059e11bb4d0a234,library,1.3006,22050.0,1
105e6efaebc80b55,library,1.2532,19750.0,1
11ab42bb6f1905cf,library,1.2747,22050.0,1
124c9fcf31599cad,library,1.3154,22050.0,1
12a90844256e4a77,library,1.2143,22050.0,1
12c0d778c51c7e3b,library,1.1925,22050.0,1
138289ff08a50b02,library,1.3951,20000.0,1
13dcb75c9cc73b45,library,1.2278,21750.0,1
14da8b9b1c7eaf63,library,1.3455,22050.0,1
150c4d67d2f5f011,library,1.2485,22050.0,1
154d8d2b0574ca09,library,1.3165,20750.0,1
1589c9e2563ea541,library,1.2840,22050.0,1
165dc9ab2dbd4a11,library,1.3412,21500.0,1
16ebfdd02a42ca77,library,1.2453,22050.0,1
17880b8e07094abc,library,1.2000,22050.0,1
179eaad261e0fbea,library,1.2529,21500.0,1
18b2342f94335bea,library,1.2683,21000.0,1
18e14a472108b9ec,library,1.2892,19250.0,1
1955aab8accab51a,library,1.2530,22050.0,1
195be48a99828a65,library,1.2500,22050.0,1
196a18b6f8f42107,library,1.2903,21750.0,1
198eb05879749184,library,1.2532,22050.0,1
1a0eaba7d5a4b937,library,1.3023,21000.0,1
1a88182db65e473d,library,1.3333,18250.0,1
1a8c191faf00fc92,library,1.2771,21750.0,1
1b7eec310f674aaf,library,1.2619,20250.0,1
1b961697c5b49f7c,library,1.2393,22050.0,1
1c8d5e3fec27c59e,library,1.2357,22050.0,1
1ccbfca0e7d66964,library,1.3947,22050.0,1
1cf1f2ac87a0de0b,library,1.3647,22050.0,1
1d6083395562a194,library,1.4253,22050.0,1
1d9b087baa49a0e4,library,1.2532,21250.0,1
1dfa786df4915d53,library,1.2439,21250.0,1
1e97217fb5a28c6f,library,1.2131,22050.0,1
1ec3bfc656e24efc,library,1.2195,22050.0,1
1ed90a02a77ed1f0,library,1.2308,21000.0,1
1f0d20c4196e2f34,library,1.2821,21000.0,1
1f243b4c69e68e1c,library,1.1977,22050.0,1
1f67121251ca1be9,library,1.2289,22050.0,1
1f7796214b7df8e7,library,1.3000,21250.0,1
1f862142bb4bc353,library,1.2963,22050.0,1
1fbd7711ea8e5304,library,1.2179,22050.0,1
1ff93c1029ad5e1e,library,1.2530,21500.0,1
2055f07ce5f933cb,library,1.4601,16000.0,0
2060ae0057d19a7e,library,1.2208,21250.0,1
209463175ae6336c,library,1.2147,21250.0,1
20e2c0383e5a0bcb,library,1.1180,18750.0,1
21e38b5abece8124,library,1.2174,18500.0,1
2205d6eeb94b86fa,library,1.2262,22050.0,1
224c1de230950291,library,1.1951,22050.0,1
228fc00e26c5b4b5,library,1.4350,21000.0,1
2357f0cfe65cf7cb,library,1.1687,22050.0,1
236b0d2f5b635037,library,1.2281,21000.0,1
2420c139758c7c1f,library,1.1925,22050.0,1
24230d275cb123f9,library,1.2739,22050.0,1
242a5445623258c5,library,1.3103,22050.0,1
24582877c4f7f837,library,1.2619,21250.0,1
249a39ebb05d9f12,library,1.3704,22050.0,1
24ef8b10014c362e,library,1.3333,22050.0,1
25080ee4022041c0,library,1.2247,20750.0,1
2567c18878227034,library,1.2824,22050.0,1
258b38f587fff602,library,1.2875,22050.0,1
25b2326232ce3669,library,1.3171,19750.0,1
25edcf909e795346,library,1.2750,21000.0,1
2602d045c967b65c,library,1.2346,22050.0,1
2640c70f89b2e27d,library,1.1646,21500.0,1
267d5a8b3272a430,library,1.4198,20500.0,1
269600e16a217bad,library,1.3133,22050.0,1
26ac6bd685eba6c1,library,1.2242,21500.0,1
26d1f76e693b7df7,library,1.2561,22050.0,1
2701f915ba7791fa,library,1.3375,21250.0,1
281de72f2f8b6e10,library,1.1705,22050.0,1
286becf4542c92f4,library,1.3855,22050.0,1
286befc853e90e5f,library,1.2390,22050.0,1
29081136376cfcb8,library,1.2317,22050.0,1
290ed6d269072a13,library,1.2840,22050.0,1
2937fff5e5690e09,library,1.2195,22050.0,1
294ca63ddf29c0d4,library,1.2262,21500.0,1
295a840eb14526c1,library,1.1591,22050.0,1
297f8f1d520d1bf9,library,1.2405,22050.0,1
2a65f07a47d45361,library,1.1895,16750.0,0
2a6e9834ac57a414,library,1.2547,22050.0,1
2a7fb55df58c17e2,library,1.2262,22050.0,1
2ac662e22e9e44de,library,1.2848,22050.0,1
2ac6e05d2655e601,library,1.4000,19750.0,1
2b5882c2ebf1b533,library,1.3086,22050.0,1
2b5a845b648df164,library,1.2222,20000.0,1
2bbe11e4a6223b89,library,1.2921,21000.0,1
2c075a8e61ddeab5,library,1.2638,22050.0,1
2c0b6326822353c6,library,1.3210,22050.0,1
2c45e6be54298568,library,1.2927,22050.0,1
2cb277430a67d934,library,1.1978,22050.0,1
2cb75db1c6262d85,library,1.2849,22050.0,1
2cc5ac4676851c55,library,1.3129,22050.0,1
2ce991bec5a93585,library,1.2625,21250.0,1
2cf729a9c83e753d,library,1.1304,21500.0,1
2d016cf6b8624911,library,1.3059,22050.0,1
2d063c19fe84c034,library,1.1392,22050.0,1
2d9b3c8296e155d8,library,1.3086,21750.0,1
2dea4131885419d2,library,1.3631,22050.0,1
2e065f41404a07de,library,1.1928,21500.0,1
2e1d9a1bfa662878,library,1.2683,21500.0,1
2e4cd019475d64e9,library,1.2727,22050.0,1
2e5270d91b5a359f,library,1.2414,21500.0,1
2e9e81092c110f48,library,1.3171,21750.0,1
2fc88796342b7702,library,1.2469,20500.0,1
2fcb1de979853044,library,1.2242,19750.0,1
2fd47bdfd2ee5ac6,library,1.2455,22050.0,1
2fff636cc501cd34,library,1.2840,20500.0,1
3007668b15b521bc,library,1.2824,22050.0,1
3059a165b8deba99,library,1.2078,20750.0,1
3073ceb2c27c8480,library,1.2317,22050.0,1
30c43d7d846cccb9,library,1.2000,20750.0,1
311fc97d13bb6f4d,library,1.2500,17250.0,0
312a864f950fe333,library,1.2892,21500.0,1
314e44d3f5776262,library,1.2125,21750.0,1
31559a9a2bb07d6b,library,1.2500,21000.0,1
3233d25ff3799a99,library,1.2658,22050.0,1
32a9206fd97427d6,library,1.2561,21500.0,1
